row_label_raw,row_label_full,Ông Bùi Quang Ngọc,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,
Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Phó Tổng Giám đốc,
Ông Dương Dũng Triêu,Ông Dương Dũng Triêu,Ông Dương Dũng Triêu,Phó Tổng Giám đốc (bổ nhiệm ngày 01 tháng 5 năm 2014),
Ông Nguyễn Khắc Thành,Ông Nguyễn Khắc Thành,Ông Nguyễn Khắc Thành,Phó Tổng Giám đốc (bổ nhiệm ngày 01 tháng 5 năm 2014),
