row_label_raw,row_label_full,31/12/2014,Dưới 1 năm > VND,Từ 1 - 5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1 - 5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.336.282.447.769,-,4.336.282.447.769,4336282447769.0,,4336282447769.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,4.111.165.770.915,-,4.111.165.770.915,4111165770915.0,,4111165770915.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,1.441.486.664.176,-,1.441.486.664.176,1441486664176.0,,1441486664176.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,545.430.773.794,545.430.773.794,,545430773794.0,545430773794.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,554.768.719.975,71.299.080.943,626.067.800.918,554768719975.0,71299080943.0,626067800918.0
Tổng cộng,Tổng cộng,Tổng cộng,10.443.703.602.835,616.729.854.737,11.060.433.457.572,10443703602835.0,616729854737.0,11060433457572.0
31/12/2014,31/12/2014,31/12/2014,Dưới 1 năm,Từ 1 - 5 năm,Tổng,,,
31/12/2014,31/12/2014,31/12/2014,VND,VND,VND,,,
Các khoản vay,31/12/2014 > Các khoản vay,Các khoản vay,6.722.412.217.259,142.418.459.294,6.864.830.676.553,6722412217259.0,142418459294.0,6864830676553.0
Phải trả người bán và phải trả khác,31/12/2014 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,3.196.109.671.630,31.642.570.430,3.227.752.242.060,3196109671630.0,31642570430.0,3227752242060.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,517.896.927.838,-,517.896.927.838,517896927838.0,,517896927838.0
Công nợ tài chính khác,31/12/2014 > Công nợ tài chính khác,Công nợ tài chính khác,15.756.096.426,-,15.756.096.426,15756096426.0,,15756096426.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,10.452.174.913.153,174.061.029.724,10.626.235.942.877,10452174913153.0,174061029724.0,10626235942877.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(8.471.310.318),442.668.825.013,434.197.514.695,-8471310318.0,442668825013.0,434197514695.0
31/12/2013,31/12/2013,31/12/2013,Dưới 1 năm,Từ 1 - 5 năm,Tổng,,,
31/12/2013,31/12/2013,31/12/2013,VND,VND,VND,,,
Tiền và các khoản tương đương tiền,31/12/2013 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.750.971.144.015,-,2.750.971.144.015,2750971144015.0,,2750971144015.0
Phải thu khách hàng và phải thu khác,31/12/2013 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,3.738.022.446.964,1.212.664.525,3.739.235.111.489,3738022446964.0,1212664525.0,3739235111489.0
Đầu tư ngắn hạn,31/12/2013 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,1.443.449.364.921,-,1.443.449.364.921,1443449364921.0,,1443449364921.0
Đầu tư dài hạn,31/12/2013 > Đầu tư dài hạn,Đầu tư dài hạn,-,481.202.305.651,481.202.305.651,,481202305651.0,481202305651.0
Tài sản tài chính khác,31/12/2013 > Tài sản tài chính khác,Tài sản tài chính khác,447.667.637.325,54.042.150.152,501.709.787.477,447667637325.0,54042150152.0,501709787477.0
Tổng cộng,31/12/2013 > Tổng cộng,Tổng cộng,8.380.110.593.225,536.457.120.328,8.916.567.713.553,8380110593225.0,536457120328.0,8916567713553.0
31/12/2013,31/12/2013,31/12/2013,Dưới 1 năm,Từ 1 - 5 năm,Tổng,,,
31/12/2013,31/12/2013,31/12/2013,VND,VND,VND,,,
Các khoản vay,31/12/2013 > Các khoản vay,Các khoản vay,4.166.634.532.080,55.406.052.179,4.222.040.584.259,4166634532080.0,55406052179.0,4222040584259.0
Phải trả người bán và phải trả khác,31/12/2013 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,2.372.186.425.100,15.450.462.353,2.387.636.887.453,2372186425100.0,15450462353.0,2387636887453.0
Chi phí phải trả,31/12/2013 > Chi phí phải trả,Chi phí phải trả,447.646.454.864,-,447.646.454.864,447646454864.0,,447646454864.0
Công nợ tài chính khác,31/12/2013 > Công nợ tài chính khác,Công nợ tài chính khác,28.377.082.233,-,28.377.082.233,28377082233.0,,28377082233.0
Tổng cộng,31/12/2013 > Tổng cộng,Tổng cộng,7.014.844.494.277,70.856.514.532,7.085.701.008.809,7014844494277.0,70856514532.0,7085701008809.0
Chênh lệch thanh khoản thuần,31/12/2013 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.365.266.098.948,465.600.605.796,1.830.866.704.744,1365266098948.0,465600605796.0,1830866704744.0
