row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2014,NGUYÊN GIÁ > Tại ngày 01/01/2014,Tại ngày 01/01/2014,811.877.332.343,2.471.493.470.584,73.149.849.114,760.987.292.572,14.914.105.722,4.132.422.050.335,811877332343.0,2471493470584.0,73149849114.0,760987292572.0,14914105722.0,4132422050335.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,112.112.402.249,799.382.081.645,8.938.008.673,90.696.039.192,23.623.396.705,1.034.751.928.464,112112402249.0,799382081645.0,8938008673.0,90696039192.0,23623396705.0,1034751928464.0
Tăng do XDCB hoàn thành,NGUYÊN GIÁ > Tăng do XDCB hoàn thành,Tăng do XDCB hoàn thành,140.822.618.224,54.970.621.689,-,-,-,195.793.239.913,140822618224.0,54970621689.0,,,,195793239913.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(499.916.673),(11.215.579.656),(777.892.099),(10.887.989.316),(1.084.500.000),(24.465.877.744),-499916673.0,-11215579656.0,-777892099.0,-10887989316.0,-1084500000.0,-24465877744.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,18.770.015.122,(2.637.465.842),-,(1.890.063.777),(210.872.792),14.031.612.711,18770015122.0,-2637465842.0,,-1890063777.0,-210872792.0,14031612711.0
Tại ngày 31/12/2014,NGUYÊN GIÁ > Tại ngày 31/12/2014,Tại ngày 31/12/2014,1.083.082.451.265,3.311.993.128.420,81.309.965.688,838.905.278.671,37.242.129.635,5.352.532.953.679,1083082451265.0,3311993128420.0,81309965688.0,838905278671.0,37242129635.0,5352532953679.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/01/2014,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2014,Tại ngày 01/01/2014,110.580.916.485,1.158.579.456.806,33.865.319.728,557.149.146.500,8.660.217.213,1.868.835.056.732,110580916485.0,1158579456806.0,33865319728.0,557149146500.0,8660217213.0,1868835056732.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,42.741.069.816,373.430.704.616,5.898.114.216,73.953.467.874,5.369.915.539,501.393.272.061,42741069816.0,373430704616.0,5898114216.0,73953467874.0,5369915539.0,501393272061.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(499.916.673),(5.969.237.422),(739.726.930),(8.652.263.149),(704.468.356),(16.565.612.530),-499916673.0,-5969237422.0,-739726930.0,-8652263149.0,-704468356.0,-16565612530.0
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(192.245.091),588.861.180,-,801.697.716,(330.418.118),867.895.687,-192245091.0,588861180.0,,801697716.0,-330418118.0,867895687.0
Tại ngày 31/12/2014,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2014,Tại ngày 31/12/2014,152.629.824.537,1.526.629.785.180,39.023.707.014,623.252.048.941,12.995.246.278,2.354.530.611.950,152629824537.0,1526629785180.0,39023707014.0,623252048941.0,12995246278.0,2354530611950.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,930.452.626.728,1.785.363.343.240,42.286.258.674,215.653.229.730,24.246.883.357,2.998.002.341.729,930452626728.0,1785363343240.0,42286258674.0,215653229730.0,24246883357.0,2998002341729.0
Tại ngày 31/12/2013,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2013,Tại ngày 31/12/2013,701.296.415.858,1.312.914.013.778,39.284.529.386,203.838.146.072,6.253.888.509,2.263.586.993.603,701296415858.0,1312914013778.0,39284529386.0,203838146072.0,6253888509.0,2263586993603.0
