row_label_raw,row_label_full,Bên liên quan,Bên liên quan_1,Mối quan hệ,Mối quan hệ_1,numeric__Bên liên quan_1,numeric__Mối quan hệ,numeric__Mối quan hệ_1
Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty liên kết,Công ty liên kết,,,
Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty liên kết,Công ty liên kết,,,
,,,2014,2013,2013,2014.0,2013.0,2013.0
,,,VND,VND,VND,,,
Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,Nhận cổ tức bằng tiền,,,
Công ty Cổ phần Chứng khoán FPT,Nhận cổ tức bằng tiền > Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,7.333.333.000,-,-,7333333000.0,,
