row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư tại ngày 01/01/2013,Số dư tại ngày 01/01/2013,Số dư tại ngày 01/01/2013,2.738.488.330.000,49.465.703.201,(794.340.000),27.959.758.134,67.103.009.261,115.477.144.855,3.181.312.460.987,6.179.012.066.438,2738488330000.0,49465703201.0,-794340000.0,27959758134.0,67103009261.0,115477144855.0,3181312460987.0,6179012066438.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,13.529.220.000,-,-,-,-,-,-,13.529.220.000,13529220000.0,,,,,,,13529220000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,1.607.708.218.980,1.607.708.218.980,,,,,,,1607708218980.0,1607708218980.0
Biến động cổ phiếu quỹ,Biến động cổ phiếu quỹ,Biến động cổ phiếu quỹ,-,-,(29.420.000),-,-,-,-,(29.420.000),,,-29420000.0,,,,,-29420000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(167.728.965.745),(167.728.965.745),,,,,,,-167728965745.0,-167728965745.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(412.679.068.500),(412.679.068.500),,,,,,,-412679068500.0,-412679068500.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(23.657.268.042),11.563.929.614,(533.287.346),(1.270.760.927),(13.897.386.701),,,,-23657268042.0,11563929614.0,-533287346.0,-1270760927.0,-13897386701.0
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,2.752.017.550.000,49.465.703.201,(823.760.000),4.302.490.092,78.666.938.875,114.943.857.509,4.207.341.884.795,7.205.914.664.472,2752017550000.0,49465703201.0,-823760000.0,4302490092.0,78666938875.0,114943857509.0,4207341884795.0,7205914664472.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),687.748.450.000,-,-,-,-,-,(687.748.450.000),-,687748450000.0,,,,,,-687748450000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,1.632.085.087.193,1.632.085.087.193,,,,,,,1632085087193.0,1632085087193.0
Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,-,-,-,-,-,-,(158.874.063.869),(158.874.063.869),,,,,,,-158874063869.0,-158874063869.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,(756.573.292.500),(756.573.292.500),,,,,,,-756573292500.0,-756573292500.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(16.872.163.837),733.101.976,(27.740.764.485),31.922.472.870,(11.957.353.476),,,,-16872163837.0,733101976.0,-27740764485.0,31922472870.0,-11957353476.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,3.439.766.000.000,49.465.703.201,(823.760.000),(12.569.673.745),79.400.040.851,87.203.093.024,4.268.153.638.489,7.910.595.041.820,3439766000000.0,49465703201.0,-823760000.0,-12569673745.0,79400040851.0,87203093024.0,4268153638489.0,7910595041820.0
