row_label_raw,row_label_full,NGUỐN VỐN,Mã số,Thuyết minh,31/12/2014,31/12/2013,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2014,numeric__31/12/2013
A. NỘ PHẢI TRẢ (300=310+330),A. NỘ PHẢI TRẢ (300=310+330),A. NỘ PHẢI TRẢ (300=310+330),300,,13.400.525.192.639,9.316.700.305.301,300.0,,13400525192639.0,9316700305301.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,13.056.523.189.378,9.068.740.122.198,310.0,,13056523189378.0,9068740122198.0
1. Vay ngắn hạn,1. Vay ngắn hạn,1. Vay ngắn hạn,311,21,6.722.412.217.259,4.166.634.532.080,311.0,21.0,6722412217259.0,4166634532080.0
2. Phải trả người bán,2. Phải trả người bán,2. Phải trả người bán,312,,3.018.857.084.191,2.200.022.923.453,312.0,,3018857084191.0,2200022923453.0
3. Người mua trả tiền trước,3. Người mua trả tiền trước,3. Người mua trả tiền trước,313,,478.420.174.874,374.759.654.082,313.0,,478420174874.0,374759654082.0
4. Thuế và các khoản phải nộp Nhà nước,4. Thuế và các khoản phải nộp Nhà nước,4. Thuế và các khoản phải nộp Nhà nước,314,22,250.837.100.459,196.311.775.347,314.0,22.0,250837100459.0,196311775347.0
5. Phải trả người lao động,5. Phải trả người lao động,5. Phải trả người lao động,315,,647.441.848.103,506.482.831.093,315.0,,647441848103.0,506482831093.0
6. Chi phí phải trả,6. Chi phí phải trả,6. Chi phí phải trả,316,,517.896.927.838,447.646.454.864,316.0,,517896927838.0,447646454864.0
7. Phải trả theo tiến độ kế hoạch hợp đồng,7. Phải trả theo tiến độ kế hoạch hợp đồng,7. Phải trả theo tiến độ kế hoạch hợp đồng,318,,15.756.096.426,28.377.082.233,318.0,,15756096426.0,28377082233.0
"8. Các khoản phải trả, phải nộp ngắn hạn khác","8. Các khoản phải trả, phải nộp ngắn hạn khác","8. Các khoản phải trả, phải nộp ngắn hạn khác",319,23,177.252.587.439,172.163.501.647,319.0,23.0,177252587439.0,172163501647.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,320,24,32.252.745.918,52.496.233.059,320.0,24.0,32252745918.0,52496233059.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",323,,209.216.273.528,211.131.680.402,323.0,,209216273528.0,211131680402.0
11. Doanh thu chưa thực hiện,11. Doanh thu chưa thực hiện,11. Doanh thu chưa thực hiện,338,,986.180.133.343,712.713.453.938,338.0,,986180133343.0,712713453938.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,344.002.003.261,247.960.183.103,330.0,,344002003261.0,247960183103.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,333,,198.449.132.073,191.130.136.496,333.0,,198449132073.0,191130136496.0
2. Vay và nợ dài hạn,2. Vay và nợ dài hạn,2. Vay và nợ dài hạn,334,25,142.418.459.294,55.406.052.179,334.0,25.0,142418459294.0,55406052179.0
3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,335,,2.929.410.611,1.138.933.402,335.0,,2929410611.0,1138933402.0
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,337,24,12.905.000,12.905.000,337.0,24.0,12905000.0,12905000.0
5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,339,,192.096.283,272.156.026,339.0,,192096283.0,272156026.0
B. VỐN CHỦ SỞ HỮU (400=410+430),B. VỐN CHỦ SỞ HỮU (400=410+430),B. VỐN CHỦ SỞ HỮU (400=410+430),400,,7.913.345.041.820,7.208.664.664.472,400.0,,7913345041820.0,7208664664472.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,26,7.910.595.041.820,7.205.914.664.472,410.0,26.0,7910595041820.0,7205914664472.0
1. Vốn điều lệ,1. Vốn điều lệ,1. Vốn điều lệ,411,,3.439.766.000.000,2.752.017.550.000,411.0,,3439766000000.0,2752017550000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,49.465.703.201,49.465.703.201,412.0,,49465703201.0,49465703201.0
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,414,,(823.760.000),(823.760.000),414.0,,-823760000.0,-823760000.0
4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,416,,(12.569.673.745),4.302.490.092,416.0,,-12569673745.0,4302490092.0
5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,417,,79.400.040.851,78.666.938.875,417.0,,79400040851.0,78666938875.0
6. Quỹ dự trữ bổ sung vốn điều lệ,6. Quỹ dự trữ bổ sung vốn điều lệ,6. Quỹ dự trữ bổ sung vốn điều lệ,418,,87.203.093.024,114.943.857.509,418.0,,87203093024.0,114943857509.0
7. Lợi nhuận sau thuế chưa phân phối,7. Lợi nhuận sau thuế chưa phân phối,7. Lợi nhuận sau thuế chưa phân phối,420,,4.268.153.638.489,4.207.341.884.795,420.0,,4268153638489.0,4207341884795.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,,2.750.000.000,2.750.000.000,430.0,,2750000000.0,2750000000.0
1. Nguồn kinh phí,1. Nguồn kinh phí,1. Nguồn kinh phí,432,,2.750.000.000,2.750.000.000,432.0,,2750000000.0,2750000000.0
C. LỢI ICH CỦA CỔ ĐÔNG THIỂU SỐ,C. LỢI ICH CỦA CỔ ĐÔNG THIỂU SỐ,C. LỢI ICH CỦA CỔ ĐÔNG THIỂU SỐ,439,,1.344.473.716.274,1.045.192.283.739,439.0,,1344473716274.0,1045192283739.0
TỔNG CỘNG NGUỐN VỐN (440=300+400+439),TỔNG CỘNG NGUỐN VỐN (440=300+400+439),TỔNG CỘNG NGUỐN VỐN (440=300+400+439),440,,22.658.343.950.733,17.570.557.253.512,440.0,,22658343950733.0,17570557253512.0
