row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,2014,2013,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__2014,numeric__2013
1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
1. Lợi nhuận trước thuế,1. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,2.459.224.202.037,2.515.629.992.212,,1.0,2459224202037.0,2515629992212.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,,
,,,- Khấu hao tài sản cố định,02,547.273.646.085,442.985.954.392,,2.0,547273646085.0,442985954392.0
,,,- Các khoản dự phòng,03,85.434.608.560,71.929.294.278,,3.0,85434608560.0,71929294278.0
,,,- (Lợi nhuận) từ đầu tư vào công ty liên kết,,(32.886.470.107),(15.084.111.193),,,-32886470107.0,-15084111193.0
,,,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,04,(16.872.163.837),(23.657.268.042),,4.0,-16872163837.0,-23657268042.0
,,,- (Lãi) từ hoạt động đầu tư,05,(372.811.060.784),(402.795.583.777),,5.0,-372811060784.0,-402795583777.0
,,,- Chi phí lãi vay,06,166.165.287.204,132.491.172.822,,6.0,166165287204.0,132491172822.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.835.528.049.158,2.721.499.450.692,,8.0,2835528049158.0,2721499450692.0
,,,- Thay đổi các khoản phải thu,09,(680.600.489.029),(686.587.885.329),,9.0,-680600489029.0,-686587885329.0
,,,- Thay đổi hàng tồn kho,10,(1.311.691.368.768),(643.504.372.095),,10.0,-1311691368768.0,-643504372095.0
,,,"- Thay đổi các khoản phải trả (không bao gồm lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.085.838.052.344,617.658.722.473,,11.0,1085838052344.0,617658722473.0
,,,- Thay đổi chi phí trả trước,12,(107.329.691.370),(64.328.286.889),,12.0,-107329691370.0,-64328286889.0
,,,- Tiền lãi vay đã trả,13,(202.542.537.509),(139.995.347.058),,13.0,-202542537509.0,-139995347058.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,14,(401.600.073.578),(440.791.857.488),,14.0,-401600073578.0,-440791857488.0
,,,- Tiền thu/(chi) khác cho hoạt động kinh doanh,16,(66.562.113.848),36.180.670.497,,16.0,-66562113848.0,36180670497.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.151.039.827.400,1.400.131.094.803,,20.0,1151039827400.0,1400131094803.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(1.440.556.923.125),(919.555.304.469),,21.0,-1440556923125.0,-919555304469.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,23.157.827.856,8.533.736.154,,22.0,23157827856.0,8533736154.0
"3. Tiền thu/(chi) cho vay, mua bán các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 3. Tiền thu/(chi) cho vay, mua bán các công cụ nợ của đơn vị khác","3. Tiền thu/(chi) cho vay, mua bán các công cụ nợ của đơn vị khác","3. Tiền thu/(chi) cho vay, mua bán các công cụ nợ của đơn vị khác","23, 24",(38.195.216.179),(775.227.472.629),,,-38195216179.0,-775227472629.0
"4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. Lưu chuyển tiền từ hoạt động đầu tư > 4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,189.684.494.595,156.458.913.777,,27.0,189684494595.0,156458913777.0
5. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,II. Lưu chuyển tiền từ hoạt động đầu tư > 5. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,5. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,5. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,,(203.239.205.312),(45.920.974.281),,,-203239205312.0,-45920974281.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.469.149.022.165),(1.575.711.101.448),,30.0,-1469149022165.0,-1575711101448.0
