row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,2014,2013,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__2014,numeric__2013
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
1.,Lưu chuyển tiền từ hoạt động tài chính > 1.,1.,Tiền thu từ phát hành cổ phiếu,31,-,13.529.220.000,,31.0,,13529220000.0
2.,Lưu chuyển tiền từ hoạt động tài chính > 2.,2.,Vốn góp của các cổ đông thiểu số vào các công ty con,,16.388.910.000,3.898.290.000,,,16388910000.0,3898290000.0
3.,Lưu chuyển tiền từ hoạt động tài chính > 3.,3.,"Tiền chỉ trả vốn góp cho các cổ đông, mua lại cổ phiếu đã phát hành và thu từ cổ phiếu tái phát hành",32,-,(29.420.000),,32.0,,-29420000.0
4.,Lưu chuyển tiền từ hoạt động tài chính > 4.,4.,"Tiền vay ngắn hạn, dài hạn nhận được",33,23.817.428.762.280,14.216.536.260.965,,33.0,23817428762280.0,14216536260965.0
5.,Lưu chuyển tiền từ hoạt động tài chính > 5.,5.,Tiền chỉ trả nợ gốc vay,34,(21.174.638.669.986),(12.875.984.294.847),,34.0,-21174638669986.0,-12875984294847.0
6.,Lưu chuyển tiền từ hoạt động tài chính > 6.,6.,Cổ tức đã trả cho cổ đông,36,(755.758.503.775),(750.313.927.548),,36.0,-755758503775.0,-750313927548.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,1.903.420.498.519,607.636.128.570,,40.0,1903420498519.0,607636128570.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.585.311.303.754,432.056.121.925,,50.0,1585311303754.0,432056121925.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,2.750.971.144.015,2.318.915.022.090,,60.0,2750971144015.0,2318915022090.0
Tiền và tương đương tiền cuối năm (70=50+60),Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,4.336.282.447.769,2.750.971.144.015,,70.0,4336282447769.0,2750971144015.0
