row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩmVND,Bảo lãnh cho các khoản cho sinh viên vayVND,Tổng cộngVND,numeric__Dự phòng bảo hành sản phẩmVND,numeric__Bảo lãnh cho các khoản cho sinh viên vayVND,numeric__Tổng cộngVND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,52.496.233.059,12.905.000,52.509.138.059,52496233059.0,12905000.0,52509138059.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,30.567.755.557,-,30.567.755.557,30567755557.0,,30567755557.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(8.811.969.621),-,(8.811.969.621),-8811969621.0,,-8811969621.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(41.999.273.077),-,(41.999.273.077),-41999273077.0,,-41999273077.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,32.252.745.918,12.905.000,32.265.650.918,32252745918.0,12905000.0,32265650918.0
