row_label_raw,row_label_full,col_0,Ghi chú,Giá trị ghi số > 31/12/2014,Giá trị ghi số > 31/12/2013,Giá trị hợp lý > 31/12/2014,Giá trị hợp lý > 31/12/2013,numeric__Ghi chú,numeric__Giá trị ghi số > 31/12/2014,numeric__Giá trị ghi số > 31/12/2013,numeric__Giá trị hợp lý > 31/12/2014,numeric__Giá trị hợp lý > 31/12/2013
,,,Ghi chú,VND,VND,VND,VND,,,,,
- Tiền gửi có kỳ hạn trên 3 tháng và dưới 1 năm,- Tiền gửi có kỳ hạn trên 3 tháng và dưới 1 năm,- Tiền gửi có kỳ hạn trên 3 tháng và dưới 1 năm,(i),1.299.337.980.000,1.211.839.734.955,1.299.337.980.000,1.211.839.734.955,,1299337980000.0,1211839734955.0,1299337980000.0,1211839734955.0
- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,(i),4.336.282.447.769,2.750.971.144.015,4.336.282.447.769,2.750.971.144.015,,4336282447769.0,2750971144015.0,4336282447769.0,2750971144015.0
- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,(i),4.111.165.770.915,3.739.235.111.489,4.111.165.770.915,3.739.235.111.489,,4111165770915.0,3739235111489.0,4111165770915.0,3739235111489.0
- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu chưa niêm yết,- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu chưa niêm yết,- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu chưa niêm yết,(iii),13.007.602.400,13.007.602.400,16.843.177.467,13.382.821.700,,13007602400.0,13007602400.0,16843177467.0,13382821700.0
- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu đã niêm yết,- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu đã niêm yết,- Các khoản đầu tư ngắn hạn vào công cụ vốn chủ sở hữu đã niêm yết,(ii),40.000.000.000,130.296.975.790,37.872.000.000,119.729.811.000,,40000000000.0,130296975790.0,37872000000.0,119729811000.0
- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,(v),89.141.081.776,88.305.051.776,Thuyết minh (v),Thuyết minh (v),,89141081776.0,88305051776.0,,
- Các khoản đầu tư dài hạn vào quỹ đầu tư,- Các khoản đầu tư dài hạn vào quỹ đầu tư,- Các khoản đầu tư dài hạn vào quỹ đầu tư,(iv),52.306.589.981,52.332.065.110,54.547.795.569,52.332.065.110,,52306589981.0,52332065110.0,54547795569.0,52332065110.0
- Các khoản đầu tư dài hạn khác,- Các khoản đầu tư dài hạn khác,- Các khoản đầu tư dài hạn khác,(v),493.124.183.813,428.870.240.541,Thuyết minh (v),Thuyết minh (v),,493124183813.0,428870240541.0,,
- Tài sản tài chính ngắn hạn khác,- Tài sản tài chính ngắn hạn khác,- Tài sản tài chính ngắn hạn khác,(i),554.768.719.975,447.667.637.325,554.768.719.975,447.667.637.325,,554768719975.0,447667637325.0,554768719975.0,447667637325.0
- Tài sản tài chính dài hạn khác,- Tài sản tài chính dài hạn khác,- Tài sản tài chính dài hạn khác,(v),71.299.080.943,54.042.150.152,Thuyết minh (v),Thuyết minh (v),,71299080943.0,54042150152.0,,
Tổng tài sản tài chính,Tổng tài sản tài chính,Tổng tài sản tài chính,,11.060.433.457.572,8.916.567.713.553,,,,11060433457572.0,8916567713553.0,,
- Các khoản vay,- Các khoản vay,- Các khoản vay,(i),6.864.830.676.553,4.222.040.584.259,6.864.830.676.553,4.222.040.584.259,,6864830676553.0,4222040584259.0,6864830676553.0,4222040584259.0
- Phải trả người bán và phải trả khác ngắn hạn,- Phải trả người bán và phải trả khác ngắn hạn,- Phải trả người bán và phải trả khác ngắn hạn,(i),3.196.109.671.630,2.372.186.425.100,3.196.109.671.630,2.372.186.425.100,,3196109671630.0,2372186425100.0,3196109671630.0,2372186425100.0
- Phải trả người bán và phải trả khác dài hạn,- Phải trả người bán và phải trả khác dài hạn,- Phải trả người bán và phải trả khác dài hạn,(v),31.642.570.430,15.450.462.353,Thuyết minh (v),Thuyết minh (v),,31642570430.0,15450462353.0,,
- Chi phí phải trả,- Chi phí phải trả,- Chi phí phải trả,(i),517.896.927.838,447.646.454.864,517.896.927.838,447.646.454.864,,517896927838.0,447646454864.0,517896927838.0,447646454864.0
- Công nợ tài chính ngắn hạn khác,- Công nợ tài chính ngắn hạn khác,- Công nợ tài chính ngắn hạn khác,(i),15.756.096.426,28.377.082.233,15.756.096.426,28.377.082.233,,15756096426.0,28377082233.0,15756096426.0,28377082233.0
Tổng công nợ tài chính,Tổng công nợ tài chính,Tổng công nợ tài chính,,10.626.235.942.877,7.085.701.008.809,,,,10626235942877.0,7085701008809.0,,
