row_label_raw,row_label_full,Chỉ tiêu,Tin học và viễn thông > Viễn thông,Tin học và viễn thông > Nội dung số,Tin học và viễn thông > Phát triển phần mềm,Tin học và viễn thông > Tích hợp hệ thống,Tin học và viễn thông > Dịch vụ tin học,Tin học và viễn thông > Giáo dục,"Tin học và viễn thông > Sản xuất, phân phối và bán lẻ sản phẩm công nghệ",Đầu tư,Loại trừ hợp nhất,Tổng cộng,numeric__Tin học và viễn thông > Viễn thông,numeric__Tin học và viễn thông > Nội dung số,numeric__Tin học và viễn thông > Phát triển phần mềm,numeric__Tin học và viễn thông > Tích hợp hệ thống,numeric__Tin học và viễn thông > Dịch vụ tin học,numeric__Tin học và viễn thông > Giáo dục,"numeric__Tin học và viễn thông > Sản xuất, phân phối và bán lẻ sản phẩm công nghệ",numeric__Đầu tư,numeric__Loại trừ hợp nhất,numeric__Tổng cộng
Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,,,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu theo bộ phận > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,3.237.844,1.038.021,2.779.185,2.973.025,682.595,556.265,15.760.954,-,-,27.027.889,3237844.0,1038021.0,2779185.0,2973025.0,682595.0,556265.0,15760954.0,,,27027889.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu theo bộ phận > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,15.852,10.039,40.093,146.655,37.009,706,1.633.282,219.906,(2.103.542),-,15852.0,10039.0,40093.0,146655.0,37009.0,706.0,1633282.0,219906.0,-2103542.0,
Tổng doanh thu theo bộ phận,Doanh thu theo bộ phận > Tổng doanh thu theo bộ phận,Tổng doanh thu theo bộ phận,3.253.696,1.048.060,2.819.278,3.119.680,719.604,556.971,17.394.236,219.906,(2.103.542),27.027.889,3253696.0,1048060.0,2819278.0,3119680.0,719604.0,556971.0,17394236.0,219906.0,-2103542.0,27027889.0
Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,,,,,,,,,,
Chi phí phân bổ trực tiếp cho bộ phận,Chi phí theo bộ phận > Chi phí phân bổ trực tiếp cho bộ phận,Chi phí phân bổ trực tiếp cho bộ phận,(2.442.979),(905.670),(2.285.942),(2.814.491),(645.867),(433.885),(16.979.758),(331.778),2.148.553,(24.691.817),-2442979.0,-905670.0,-2285942.0,-2814491.0,-645867.0,-433885.0,-16979758.0,-331778.0,2148553.0,-24691817.0
Kết quả hoạt động kinh doanh theo bộ phận,Chi phí theo bộ phận > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,810.717,142.390,533.336,305.189,73.737,123.086,414.478,(111.872),45.011,2.336.072,810717.0,142390.0,533336.0,305189.0,73737.0,123086.0,414478.0,-111872.0,45011.0,2336072.0
Khẩu hao và chi phí phân bổ,Chi phí theo bộ phận > Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,(335.919),(77.768),(112.402),(79.435),(17.807),(54.874),(35.415),(22.953),46.526,(690.047),-335919.0,-77768.0,-112402.0,-79435.0,-17807.0,-54874.0,-35415.0,-22953.0,46526.0,-690047.0
Tổng chi phí đã phát sinh để mua Tài sản cố định,Chi phí theo bộ phận > Tổng chi phí đã phát sinh để mua Tài sản cố định,Tổng chi phí đã phát sinh để mua Tài sản cố định,809.673,106.953,307.696,91.102,20.289,84.969,134.056,4.866,(54.193),1.505.411,809673.0,106953.0,307696.0,91102.0,20289.0,84969.0,134056.0,4866.0,-54193.0,1505411.0
Lợi nhuận trước thuế theo bộ phận,Chi phí theo bộ phận > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,830.107,139.812,548.009,264.365,104.232,132.959,404.247,1.096.935,(1.005.036),2.515.630,830107.0,139812.0,548009.0,264365.0,104232.0,132959.0,404247.0,1096935.0,-1005036.0,2515630.0
Tài sản bộ phận,Chi phí theo bộ phận > Tài sản bộ phận,Tài sản bộ phận,3.128.328,428.342,"2,018.988",2.422.453,539.485,674.287,6.459.105,2.415.396,(515.827),17.570.557,3128328.0,428342.0,2.018988,2422453.0,539485.0,674287.0,6459105.0,2415396.0,-515827.0,17570557.0
Nợ phải trả bộ phận,Chi phí theo bộ phận > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.534.579,123.517,797.475,1.530.081,340.752,211.305,5.360.917,805.363,(1.387.289),9.316.700,1534579.0,123517.0,797475.0,1530081.0,340752.0,211305.0,5360917.0,805363.0,-1387289.0,9316700.0
