row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,2014,2013,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__2014,numeric__2013
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,27,32.873.026.689.955,27.114.701.620.108,,1.0,27.0,32873026689955.0,27114701620108.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,228.370.331.060,86.812.893.801,,2.0,27.0,228370331060.0,86812893801.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,32.644.656.358.895,27.027.888.726.307,,10.0,27.0,32644656358895.0,27027888726307.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,28,26.371.195.996.918,21.488.735.997.741,,11.0,28.0,26371195996918.0,21488735997741.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,6.273.460.361.977,5.539.152.728.566,,20.0,,6273460361977.0,5539152728566.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,30,367.644.565.708,385.721.360.302,,21.0,30.0,367644565708.0,385721360302.0
7.,7.,7.,Chi phí tài chính,22,31,354.076.323.129,270.555.567.201,,22.0,31.0,354076323129.0,270555567201.0
,,,Trong đó: Chi phí lãi vay,23,,166.165.287.204,132.491.172.822,,23.0,,166165287204.0,132491172822.0
8.,8.,8.,Chi phí bán hàng,24,,1.702.757.995.648,1.356.607.364.353,,24.0,,1702757995648.0,1356607364353.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,25,,2.183.260.264.435,1.846.473.690.787,,25.0,,2183260264435.0,1846473690787.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)-(24+25)},30,,2.401.010.344.473,2.451.237.466.527,,30.0,,2401010344473.0,2451237466527.0
11.,11.,11.,Thu nhập khác,31,32,193.661.930.126,204.959.308.306,,31.0,32.0,193661930126.0,204959308306.0
12.,12.,12.,Chi phí khác,32,33,123.533.340.100,119.640.696.452,,32.0,33.0,123533340100.0,119640696452.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,70.128.590.026,85.318.611.854,,40.0,,70128590026.0,85318611854.0
14.,14.,14.,Lợi nhuận từ công ty liên kết,45,,40.858.599.445,21.520.886.281,,45.0,,40858599445.0,21520886281.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế - Trước khi trích lập Quỹ đầu tư và phát triển (48=30+40+45),48,,2.511.997.533.944,2.558.076.964.662,,48.0,,2511997533944.0,2558076964662.0
,,,- Trích lập Quỹ đầu tư và phát triển,49,34,52.773.331.907,42.446.972.450,,49.0,34.0,52773331907.0,42446972450.0
,,,- Sau khi trích lập Quỹ đầu tư và phát triển (50=48-49),50,,2.459.224.202.037,2.515.629.992.212,,50.0,,2459224202037.0,2515629992212.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,399.000.144.668,477.971.353.268,,51.0,35.0,399000144668.0,477971353268.0
17.,17.,17.,(Thu nhập) thuế TNDN hoãn lại,52,,(18.900.741.566),(27.654.356.365),,52.0,,-18900741566.0,-27654356365.0
18.,18.,18.,Lợi nhuận sau thuế TNDN (60=50-51-52),60,,2.079.124.798.935,2.065.312.995.309,,60.0,,2079124798935.0,2065312995309.0
18.1,18.1,18.1,Lợi ích của cổ đông thiểu số,61,,447.039.711.742,457.604.776.329,,61.0,,447039711742.0,457604776329.0
18.2,18.2,18.2,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,62,,1.632.085.087.193,1.607.708.218.980,,62.0,,1632085087193.0,1607708218980.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,36,4.746,4.684,,70.0,36.0,4746.0,4684.0
