row_label_raw,row_label_full,col_0,Năm 2014(Số năm),numeric__Năm 2014(Số năm)
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,5 - 25,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 25,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,3 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 8,
Tải sản khác,Tải sản khác,Tải sản khác,3 - 25,
