row_label_raw,row_label_full,Chỉ tiêu,Tin học và viễn thông > Viễn thông,Tin học và viễn thông > Nội dung số,Tin học và viễn thông > Phát triển phần mềm,Tin học và viễn thông > Tích hợp hệ thống,Tin học và viễn thông > Dịch vụ tin học,Tin học và viễn thông > Giáo dục,"Tin học và viễn thông > Sản xuất, phân phối và bán lẻ sản phẩm công nghệ",Đầu tư,Loại trừ hợp nhất,Tổng cộng,numeric__Tin học và viễn thông > Viễn thông,numeric__Tin học và viễn thông > Nội dung số,numeric__Tin học và viễn thông > Phát triển phần mềm,numeric__Tin học và viễn thông > Tích hợp hệ thống,numeric__Tin học và viễn thông > Dịch vụ tin học,numeric__Tin học và viễn thông > Giáo dục,"numeric__Tin học và viễn thông > Sản xuất, phân phối và bán lẻ sản phẩm công nghệ",numeric__Đầu tư,numeric__Loại trừ hợp nhất,numeric__Tổng cộng
Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,,,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu theo bộ phận > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,3.869.902,946.405,3.507.641,2.706.880,723.641,559.976,20.280.084,50.127,-,32.644.656,3869902.0,946405.0,3507641.0,2706880.0,723641.0,559976.0,20280084.0,50127.0,,32644656.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu theo bộ phận > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,5.959,-,72.991,211.642,56.579,30.422,2.571.113,134.626,(3.083.332),-,5959.0,,72991.0,211642.0,56579.0,30422.0,2571113.0,134626.0,-3083332.0,
Tổng doanh thu theo bộ phận,Doanh thu theo bộ phận > Tổng doanh thu theo bộ phận,Tổng doanh thu theo bộ phận,3.875.861,946.405,3.580.632,2.918.522,780.220,590.398,22.851.197,184.753,(3.083.332),32.644.656,3875861.0,946405.0,3580632.0,2918522.0,780220.0,590398.0,22851197.0,184753.0,-3083332.0,32644656.0
Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,Chỉ phí theo bộ phận,,,,,,,,,,
Chỉ phí phân bổ trực tiếp cho bộ phận,Chỉ phí theo bộ phận > Chỉ phí phân bổ trực tiếp cho bộ phận,Chỉ phí phân bổ trực tiếp cho bộ phận,(3.066.834),(853.413),(3.035.960),(2.788.836),(745.551),(426.285),(22.260.244),(274.553),3.194.147,(30.257.529),-3066834.0,-853413.0,-3035960.0,-2788836.0,-745551.0,-426285.0,-22260244.0,-274553.0,3194147.0,-30257529.0
Kết quả hoạt động kinh doanh theo bộ phận,Chỉ phí theo bộ phận > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,809.027,92.992,544.672,129.686,34.669,164.113,590.953,(89.800),110.815,2.387.127,809027.0,92992.0,544672.0,129686.0,34669.0,164113.0,590953.0,-89800.0,110815.0,2387127.0
Khẩu hao và chi phí phân bổ,Chỉ phí theo bộ phận > Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,(512.530),(56.357),(287.523),(75.091),(20.074),(54.304),(64.911),(21.550),4.274,(1.088.066),-512530.0,-56357.0,-287523.0,-75091.0,-20074.0,-54304.0,-64911.0,-21550.0,4274.0,-1088066.0
Tổng chi phí đã phát sinh để mua Tài sản cố định,Chỉ phí theo bộ phận > Tổng chi phí đã phát sinh để mua Tài sản cố định,Tổng chi phí đã phát sinh để mua Tài sản cố định,1.087.160,28.573,486.089,86.575,23.144,146.665,101.342,25.793,(659.949),1.325.392,1087160.0,28573.0,486089.0,86575.0,23144.0,146665.0,101342.0,25793.0,-659949.0,1325392.0
Lợi nhuận trước thuế theo bộ phận,Chỉ phí theo bộ phận > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,833.809,102.223,518.825,136.682,84.496,170.961,588.833,1.848.860,(1.825.780),2.458.909,833809.0,102223.0,518825.0,136682.0,84496.0,170961.0,588833.0,1848860.0,-1825780.0,2458909.0
Tải sản bộ phận,Chỉ phí theo bộ phận > Tải sản bộ phận,Tải sản bộ phận,8.803.915,937.495,2.849.138,2.677.263,715.724,757.364,8.294.629,3.356.508,(5.733.692),22.658.344,8803915.0,937495.0,2849138.0,2677263.0,715724.0,757364.0,8294629.0,3356508.0,-5733692.0,22658344.0
Nợ phải trả bộ phận,Chỉ phí theo bộ phận > Nợ phải trả bộ phận,Nợ phải trả bộ phận,6.308.059,545.401,1.534.916,1.891.701,505.716,279.572,6.950.611,1.262.681,(5.878.132),13.400.525,6308059.0,545401.0,1534916.0,1891701.0,505716.0,279572.0,6950611.0,1262681.0,-5878132.0,13400525.0
