row_label_raw,row_label_full,Ho và tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Ho và tên,Ho và tên,Ho và tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Xuân Quang,Ho và tên > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,"Chủ tịch HDQT(Thành viên Thường trực HDQT, kiểm Trường Tiểu ban Đầu tư và Thành viên Tiểu ban Nhân sự)",5.141.157.112,5.141.157.112,,5141157112.0,5141157112.0
Ông Trần Thanh Phong,Ho và tên > Ông Trần Thanh Phong,Ông Trần Thanh Phong,"Phó chủ tịch HDQT(Thành viên Thường trực HDQT, kiểm Trường Tiểu ban Quan hệ Cổ đông,Thành viên Tiểu ban Đầu tư và Thành viên Tiểu ban Kiểm toán)",4.239.791.429,4.239.791.429,,4239791429.0,4239791429.0
Ông Cao Tấn Thạch,Ho và tên > Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Thành viên (kiêm Thành viên Tiểu ban Kiểm toán),2.709.380.864,2.709.380.864,,2709380864.0,2709380864.0
Ông Ngian Siew Siong,Ho và tên > Ông Ngian Siew Siong,Ông Ngian Siew Siong,Thành viên độc lập(kiêm Trường Tiểu ban Nhân sự và Thành viên Tiểu ban Đầu tư),1.310.835.984,1.310.835.984,,1310835984.0,1310835984.0
Ông Kenneth Michael Atkinson,Ho và tên > Ông Kenneth Michael Atkinson,Ông Kenneth Michael Atkinson,Thành viên độc lập(kiêm Trường Tiểu ban Kiểm toán),1.116.903.755,1.116.903.755,,1116903755.0,1116903755.0
Ông Chad Ryan Ovel,Ho và tên > Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Thành viên độc lập(kiêm Thành viên Tiểu ban Nhân sự),978.380.735,978.380.735,,978380735.0,978380735.0
Ông Ziang Tony Ngo,Ho và tên > Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Thành viên độc lập(kiêm Thành viên Tiểu ban Đầu tư),978.380.735,978.380.735,,978380735.0,978380735.0
Ông Joseph Low Kar Yew,Ho và tên > Ông Joseph Low Kar Yew,Ông Joseph Low Kar Yew,Thành viên(kiêm Thành viên Tiểu ban Kiểm toán),701.334.693,701.334.693,,701334693.0,701334693.0
Ông Nguyễn Đức Thuẩn,Ho và tên > Ông Nguyễn Đức Thuẩn,Ông Nguyễn Đức Thuẩn,Thành viên,507.402.464,507.402.464,,507402464.0,507402464.0
TỔNG CỔNG,Ho và tên > TỔNG CỔNG,TỔNG CỔNG,,17.683.567.771,17.683.567.771,,17683567771.0,17683567771.0
