row_label_raw,row_label_full,Paragon,Công ty liên doanh,Tạm ứng để vốn góp,170.000.000.000,90.000.000.000,numeric__Công ty liên doanh,numeric__Tạm ứng để vốn góp,numeric__170.000.000.000,numeric__90.000.000.000
Southgate,Southgate,Southgate,Công ty con,Cổ tức,142.216.068.493,56.385.171.233,,,142216068493.0,56385171233.0
Sản Giao Dịch,Sản Giao Dịch,Sản Giao Dịch,Công ty con,Cổ tức,47.900.000.000,-,,,47900000000.0,
NLG - NNR - HRFuji,NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Cổ tức,38.772.602.740,23.200.000.000,,,38772602740.0,23200000000.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tức,16.327.800.000,327.800.000,,,16327800000.0,327800000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Cổ tức,12.000.000.000,-,,,12000000000.0,
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Cổ tức,11.700.000.000,-,,,11700000000.0,
Mizuki,Mizuki,Mizuki,Công ty liên doanh,Thu hoàn vốn và cổ tức,3.485.296.803,-,,,3485296803.0,
Nam Phan,Nam Phan,Nam Phan,Công ty con,Thu hồi vốn góp HĐHTKD,1.920.000.000,1.920.000.000,,,1920000000.0,1920000000.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Cổ tức,1.544.140.000,-,,,1544140000.0,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,Cổ tức,700.000.000,-,,,700000000.0,
,,,,,446.565.908.036,171.832.971.233,,,446565908036.0,171832971233.0
