row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu và biểu quyết (trực tiếp và gián tiếp) (%),numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu và biểu quyết (trực tiếp và gián tiếp) (%)
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
"Công ty Cổ phần Nam Long VCD(""Nam Long VCD"")","Công ty con > Công ty Cổ phần Nam Long VCD(""Nam Long VCD"")","Công ty Cổ phần Nam Long VCD(""Nam Long VCD"")",Tính Long An,Xây dựng vàbất động sản,"99,96",,,99.96
"Công ty Cổ phần Bất Động Sản Nguyên Sơn(""Nguyên Sơn"")","Công ty con > Công ty Cổ phần Bất Động Sản Nguyên Sơn(""Nguyên Sơn"")","Công ty Cổ phần Bất Động Sản Nguyên Sơn(""Nguyên Sơn"")","Tp. Hồ Chí Minh(""TPHCM"")",Bất động sản,"87,33",,,87.33
Công ty Cổ phần Đầu tư Nam Phan,Công ty con > Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Bất động sản,"100,00",,,100.0
"Công ty TNHH Phát triển Căn hộ Nam Long(""Nam Long ADC"")","Công ty con > Công ty TNHH Phát triển Căn hộ Nam Long(""Nam Long ADC"")","Công ty TNHH Phát triển Căn hộ Nam Long(""Nam Long ADC"")",TPHCM,Xây dựng vàbất động sản,"100,00",,,100.0
"Công ty Cổ phần Nam Long Mekong(""Nam Long Mekong"")","Công ty con > Công ty Cổ phần Nam Long Mekong(""Nam Long Mekong"")","Công ty Cổ phần Nam Long Mekong(""Nam Long Mekong"")",Tp. Cần Thơ,Xây dựng vàbất động sản,"99,98",,,99.98
"Công ty Cổ phần NLG - NNR - HR Fuji(""NLG - NNR - HR Fuji"") (*)","Công ty con > Công ty Cổ phần NLG - NNR - HR Fuji(""NLG - NNR - HR Fuji"") (*)","Công ty Cổ phần NLG - NNR - HR Fuji(""NLG - NNR - HR Fuji"") (*)",TPHCM,Xây dựng vàbất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Flora,Công ty con > Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH NNH Kikyo Valora (*),Công ty con > Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH Đầu tư và Kinh doanhBất động sản Nguyên Phúc,Công ty con > Công ty TNHH Đầu tư và Kinh doanhBất động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanhBất động sản Nguyên Phúc,TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,Công ty con > Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,TPHCM,Xây dựng vàbất động sản,"100,00",,,100.0
"Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên (""Nam Viên"")","Công ty con > Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên (""Nam Viên"")","Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên (""Nam Viên"")",TPHCM,Dịch vụ,"81,25",,,81.25
Công ty TNHH Kinh doanh Vật liệu Xây dựng NamKhang,Công ty con > Công ty TNHH Kinh doanh Vật liệu Xây dựng NamKhang,Công ty TNHH Kinh doanh Vật liệu Xây dựng NamKhang,TPHCMKinh doanh thương mạivật liệu xây dựng,TPHCMKinh doanh thương mạivật liệu xây dựng,"100,00",,,100.0
"Công ty Cổ phần 6D (""6D"")","Công ty con > Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")",TPHCM,Xây dựng vàbất động sản,"76,03",,,76.03
"Công ty TNHH Một Thành Viên Sản giao dịch Bấtdộng sản Nam Long (""Sản Giao Dịch"")","Công ty con > Công ty TNHH Một Thành Viên Sản giao dịch Bấtdộng sản Nam Long (""Sản Giao Dịch"")","Công ty TNHH Một Thành Viên Sản giao dịch Bấtdộng sản Nam Long (""Sản Giao Dịch"")",TPHCM,Sản giao dịchbất động sản,"100,00",,,100.0
Công ty TNHH MTV Dịch vụ Nam Long,Công ty con > Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,TPHCM,Dịch vụ và xây dựng,"100,00",,,100.0
"Công ty TNHH Một Thành Viên Dịch vụ Vận tải NamLong (""Vận tải Nam Long"")","Công ty con > Công ty TNHH Một Thành Viên Dịch vụ Vận tải NamLong (""Vận tải Nam Long"")","Công ty TNHH Một Thành Viên Dịch vụ Vận tải NamLong (""Vận tải Nam Long"")",TPHCM,Dịch vụ vận tải,"100,00",,,100.0
Công ty TNHH Nam Long Commercial Property(trước đây là Công ty TNHH MTV Quán lý và Khaithác Bất Đông Sản Nam Long),Công ty con > Công ty TNHH Nam Long Commercial Property(trước đây là Công ty TNHH MTV Quán lý và Khaithác Bất Đông Sản Nam Long),Công ty TNHH Nam Long Commercial Property(trước đây là Công ty TNHH MTV Quán lý và Khaithác Bất Đông Sản Nam Long),TPHCM,Xây dựng vàbất động sản,"100,00",,,100.0
Công ty TNHH Đầu tư Nam Long Land (trước đây làCông ty TNHH Quân lý Xây dựng và Đầu tư NamLong),Công ty con > Công ty TNHH Đầu tư Nam Long Land (trước đây làCông ty TNHH Quân lý Xây dựng và Đầu tư NamLong),Công ty TNHH Đầu tư Nam Long Land (trước đây làCông ty TNHH Quân lý Xây dựng và Đầu tư NamLong),TPHCM,Dịch vụ quản lý,"100,00",,,100.0
"Công ty TNHH Thành phố Waterfront Đồng Nai(""Đồng Nai Waterfront"")","Công ty con > Công ty TNHH Thành phố Waterfront Đồng Nai(""Đồng Nai Waterfront"")","Công ty TNHH Thành phố Waterfront Đồng Nai(""Đồng Nai Waterfront"")",Tính Đồng Nai,Bất động sản,"65,10",,,65.1
"Công ty Cổ phần Southgate (""Southgate"")","Công ty con > Công ty Cổ phần Southgate (""Southgate"")","Công ty Cổ phần Southgate (""Southgate"")",TPHCM,Bất động sản,"65,00",,,65.0
Công ty TNHH Đầu tư Nam Phát Land,Công ty con > Công ty TNHH Đầu tư Nam Phát Land,Công ty TNHH Đầu tư Nam Phát Land,TPHCM,Bất động sản,"100,00",,,100.0
"Công ty TNHH Nam Long Retail(trước đây là Công ty TNHH Nam Long Commercial"")","Công ty con > Công ty TNHH Nam Long Retail(trước đây là Công ty TNHH Nam Long Commercial"")","Công ty TNHH Nam Long Retail(trước đây là Công ty TNHH Nam Long Commercial"")",TPHCM,Bất động sản,"100,00",,,100.0
Công ty TNHH Nam Long SPV (***),Công ty con > Công ty TNHH Nam Long SPV (***),Công ty TNHH Nam Long SPV (***),TPHCM,Bất động sản,"100,00",,,100.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
"Công ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty liên doanh > Công ty TNHH Paragon Đại Phước (""Paragon"") (**)","Công ty TNHH Paragon Đại Phước (""Paragon"") (**)",TPHCM,Bất động sản,"75,00",,,75.0
"Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty liên doanh > Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")",TPHCM,Bất động sản,"50,00",,,50.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Công ty TNHH Anabuki NL Housing Service ViệtNam,Công ty liên kết > Công ty TNHH Anabuki NL Housing Service ViệtNam,Công ty TNHH Anabuki NL Housing Service ViệtNam,TPHCM,Bất động sản,"30,59",,,30.59
