row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nôi dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nôi dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,Các khoản trả trước cho người bán ngắn hạn,,,,
Dịch vụ Nam Long,Các khoản trả trước cho người bán ngắn hạn > Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ quản lý,1.204.851.386,2.139.197.308,,,1204851386.0,2139197308.0
Nam Long CP,Các khoản trả trước cho người bán ngắn hạn > Nam Long CP,Nam Long CP,Công ty con,Phí dịch vụ quản lý,502.404.899,502.404.899,,,502404899.0,502404899.0
Nam Khang,Các khoản trả trước cho người bán ngắn hạn > Nam Khang,Nam Khang,Công ty con,Phí dịch vụ quản lý,225.000.000,2.976.217.612,,,225000000.0,2976217612.0
Anabuki,Các khoản trả trước cho người bán ngắn hạn > Anabuki,Anabuki,Công ty liên kết,Phí dịch vụ quản lý,154.440.000,154.440.000,,,154440000.0,154440000.0
Nam Long ADC,Các khoản trả trước cho người bán ngắn hạn > Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụ quản lý,4.620.000,9.075.000,,,4620000.0,9075000.0
,,,,,2.091.316.285,5.781.334.819,,,2091316285.0,5781334819.0
