row_label_raw,row_label_full,19. VAY (tiếp theo),19. VAY (tiếp theo)_1,19. VAY (tiếp theo)_2,19. VAY (tiếp theo)_3,19. VAY (tiếp theo)_4,19. VAY (tiếp theo)_5,19. VAY (tiếp theo)_6,numeric__19. VAY (tiếp theo)_1,numeric__19. VAY (tiếp theo)_2,numeric__19. VAY (tiếp theo)_3,numeric__19. VAY (tiếp theo)_4,numeric__19. VAY (tiếp theo)_5,numeric__19. VAY (tiếp theo)_6
19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,19.4 Trái phiếu,,,,,,
Tổ chức thu xếp/bảo lãnh phát hành,Tổ chức thu xếp/bảo lãnh phát hành,Tổ chức thu xếp/bảo lãnh phát hành,Trái chủ,Số tiền VND,Lãi suất (%/năm),Ngày đảo hạn,Mục đích,Tài sản thế chấp,,,,,,
Công ty Cổ phầnChứng khoánThành phốHồ Chí Minh,Tổ chức thu xếp/bảo lãnh phát hành > Công ty Cổ phầnChứng khoánThành phốHồ Chí Minh,Công ty Cổ phầnChứng khoánThành phốHồ Chí Minh,International Finance Corporation,1.000.000.000.000,"9,35% - 12,94%",Ngày 28 tháng 3 năm 2029,Tài trợ và đầu tư cho các dự án,162.571.075 cổ phiếu Nam Long VCD do Công ty sở hữu (TM số 13.1) và 19.982.578 cổ phiếu Nam Long VCD do Nam Khang sở hữu,,1000000000000.0,,,,
Công tyCổ phầnChứng khoánKỹ Thương,Tổ chức thu xếp/bảo lãnh phát hành > Công tyCổ phầnChứng khoánKỹ Thương,Công tyCổ phầnChứng khoánKỹ Thương,Công ty Cổ phần Chứng khoánKỹ Thương,950.000.000.000,"13,78%",Ngày 6 tháng 9 năm 2024,Tài trợ và đầu tư cho các dự án,Tín chấp,,950000000000.0,0.1378,,,
GuarantCo Ltd,Tổ chức thu xếp/bảo lãnh phát hành > GuarantCo Ltd,GuarantCo Ltd,Công ty TNHH Manulife (Việt Nam)TNHH Bảo hiểm Nhân thọ AIA (Việt Nam)TNHH Bảo hiểm Nhân thọ Generali Việt Nam,510.000.000.000120.000.000.00030.000.000.000,"6,50%",Ngày 19 tháng 6 năm 2025,Tài trợ và đầu tư cho các dự án,56.165.462 cổ phiếu Nam Long VCD do Công ty sở hữu (TM số 13.1),,5.1000000000012e+34,0.065,,,
Công ty Cổ phầnChứng khoánQuốc tếViệt Nam,Tổ chức thu xếp/bảo lãnh phát hành > Công ty Cổ phầnChứng khoánQuốc tếViệt Nam,Công ty Cổ phầnChứng khoánQuốc tếViệt Nam,Ngân hàng TMCP Phương Đông,500.000.000.000,"9,60%",Ngày 28 tháng 9 năm 2028,Tài trợ và đầu tư cho các dự án,"Quyền sử dụng đất tại Thừa đất Số 7692, Tờ Bản đồ Số 5, Xã An Thạnh, Huyện Bến Lức, Tĩnh Long An do Nam Long VCD sở hữu (TM 13.1)",,500000000000.0,0.096,,,
Trừ:Chi phí phát hành,Tổ chức thu xếp/bảo lãnh phát hành > Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,,(35.023.449.239),,,,,,-35023449239.0,,,,
Số cuối năm,Tổ chức thu xếp/bảo lãnh phát hành > Số cuối năm,Số cuối năm,,3.074.976.550.761,,,,,,3074976550761.0,,,,
Trong đó:Trải phiếu dài hạn,Tổ chức thu xếp/bảo lãnh phát hành > Trong đó:Trải phiếu dài hạn,Trong đó:Trải phiếu dài hạn,,2.131.460.300.761,,,,,,2131460300761.0,,,,
Trải phiếu dài hạn đến hạn trả,Tổ chức thu xếp/bảo lãnh phát hành > Trải phiếu dài hạn đến hạn trả,Trải phiếu dài hạn đến hạn trả,,943.516.250.000,,,,,,943516250000.0,,,,
