row_label_raw,row_label_full,Mã số,CHÌ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng (lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao món Lãi từ hoạt động đầu tư Chi phí lãi vay,"11, 1225",(52.263.691.058)23.190.898.593(555.924.221.160)453.105.042.314,696.469.227.38110.729.634.265(834.039.625.635)313.236.598.560,,,,
01,01,01,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng (lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao món Lãi từ hoạt động đầu tư Chi phí lãi vay,"11, 1225",(52.263.691.058)23.190.898.593(555.924.221.160)453.105.042.314,696.469.227.38110.729.634.265(834.039.625.635)313.236.598.560,,,,
02,02,02,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng (lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao món Lãi từ hoạt động đầu tư Chi phí lãi vay,"11, 1225",(52.263.691.058)23.190.898.593(555.924.221.160)453.105.042.314,696.469.227.38110.729.634.265(834.039.625.635)313.236.598.560,,,,
05,05,05,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng (lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao món Lãi từ hoạt động đầu tư Chi phí lãi vay,"11, 1225",(52.263.691.058)23.190.898.593(555.924.221.160)453.105.042.314,696.469.227.38110.729.634.265(834.039.625.635)313.236.598.560,,,,
06,06,06,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng (lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao món Lãi từ hoạt động đầu tư Chi phí lãi vay,"11, 1225",(52.263.691.058)23.190.898.593(555.924.221.160)453.105.042.314,696.469.227.38110.729.634.265(834.039.625.635)313.236.598.560,,,,
08,08,08,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
09,09,09,Tăng các khoản phải thu(Tăng) giảm hàng tồn kho,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
10,10,10,Tăng các khoản phải thu(Tăng) giảm hàng tồn kho,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
11,11,11,Tăng các khoản phải trả,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
12,12,12,Giảm (tăng) chi phí trả trước,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
14,14,14,Tiền lãi vay đã trả,,(131.891.971.311)(100.358.525.346)(2.092.254.251.587)1.176.659.511.415116.850.578.553(400.991.672.259),186.395.834.571(1.934.389.036.804)34.615.406.3671.285.008.162.557(12.870.929.979)(319.367.521.053),,,,
15,14 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,16,(27.277.236.340),,,16.0,-27277236340.0,
17,14 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(23.345.590.253),(102.462.449.082)(12.699.640.016),,,-23345590253.0,
20,14 > 20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(1.482.609.157.128),(875.770.173.439),,,-1482609157128.0,-875770173439.0
,,,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,,,,
21,14 > 21,21,Tiền chi để mua sắm tài sản cố định,,(18.140.641.050),(82.808.057.858),,,-18140641050.0,-82808057858.0
23,14 > 23,23,Tiền chi thuần cho vay và tiền gửi có kỳ hạn,,(144.591.635.430),-,,,-144591635430.0,
24,14 > 24,24,Tiền thu thuần cho vay và tiền gửi có kỳ hạn,,-,542.635.098.545,,,,542635098545.0
25,14 > 25,25,Tiền chi đầu tư góp vốn vào các đơn vị khác,,(125.000.000.000),(1.892.492.100.000),,,-125000000000.0,-1892492100000.0
26,14 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,210.000.000.000486.446.886.176,1.181.269.491.525799.898.281.016,,,2.1000000000048645e+23,1.1812694915257999e+24
27,27,27,Tiền lãi và cố tức,,,,,,,
30,27 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,408.714.609.696,548.502.713.228,,,408714609696.0,548502713228.0
,,,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
33,27 > 33,33,Tiền thu từ đi vay (trừ chi phí phát hành trái phiếu),,1.638.262.033.032,1.899.653.798.533,,,1638262033032.0,1899653798533.0
34,27 > 34,34,Tiền chi trả nợ gốc vay,19.5,(1.577.193.407.043),(1.333.292.585.929),,195.0,-1577193407043.0,-1333292585929.0
36,27 > 36,36,Cổ tức đã trả,22.2,(75.669.098.823),(341.017.009.089),,222.0,-75669098823.0,-341017009089.0
40,27 > 40,40,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động tài chính,,(14.600.472.834),225.344.203.515,,,-14600472834.0,225344203515.0
