row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvá thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvá thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.505.407.376,540.130.109,790.363.091,14.996.245.542,17.832.146.118,1505407376.0,540130109.0,790363091.0,14996245542.0,17832146118.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,400.000.000,192.078.000,592.078.000,,,400000000.0,192078000.0,592078000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.505.407.376,540.130.109,1.190.363.091,15.188.323.542,18.424.224.118,1505407376.0,540130109.0,1190363091.0,15188323542.0,18424224118.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,506.130.100,-,7.136.173.400,7.642.303.500,,506130100.0,,7136173400.0,7642303500.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(896.012.071),(525.396.772),(725.988.130),(10.862.091.781),(13.009.488.754),-896012071.0,-525396772.0,-725988130.0,-10862091781.0,-13009488754.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(56.133.131),(6.800.002),(222.681.525),(1.907.768.684),(2.193.383.342),-56133131.0,-6800002.0,-222681525.0,-1907768684.0,-2193383342.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(952.145.202),(532.196.774),(948.669.655),(12.769.860.465),(15.202.872.096),-952145202.0,-532196774.0,-948669655.0,-12769860465.0,-15202872096.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,609.395.305,14.733.337,64.374.961,4.134.153.761,4.822.657.364,609395305.0,14733337.0,64374961.0,4134153761.0,4822657364.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,553.262.174,7.933.335,241.693.436,2.418.463.077,3.221.352.022,553262174.0,7933335.0,241693436.0,2418463077.0,3221352022.0
