row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.840.803.000.000,2.431.271.455.967,5.940.860.165,2.048.439.854.159,8.326.455.170.291,3840803000000.0,2431271455967.0,5940860165.0,2048439854159.0,8326455170291.0
Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),Năm nay > Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),-,-,-,2.988.533.722,2.988.533.722,,,,2988533722.0,2988533722.0
Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),Năm nay > Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),Lợi nhuận thuần trong nămPhát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củaCông ty (i),6.971.710.000,-,-,-,6.971.710.000,6971710000.0,,,,6971710000.0
Cổ tức bằng tiềncông bố (ii),Năm nay > Cổ tức bằng tiềncông bố (ii),Cổ tức bằng tiềncông bố (ii),-,-,-,(76.816.060.000),(76.816.060.000),,,,-76816060000.0,-76816060000.0
Trích lập quỹ khen thưởngphúc lợi (iii),Năm nay > Trích lập quỹ khen thưởngphúc lợi (iii),Trích lập quỹ khen thưởngphúc lợi (iii),-,-,-,(10.000.000.000),(10.000.000.000),,,,-10000000000.0,-10000000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.847.774.710.000,2.431.271.455.967,5.940.860.165,1.964.612.327.881,8.249.599.354.013,3847774710000.0,2431271455967.0,5940860165.0,1964612327881.0,8249599354013.0
