row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,,,,
NLG - NNR - HRFuji,Các khoản phải trả ngắn hạn khác > NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Nhận góp vốnHĐHTKD -Dự án Akari,583.000.000.000,583.000.000.000,,,583000000000.0,583000000000.0
NLG - NNR - HRFuji,Các khoản phải trả ngắn hạn khác > NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Chia lợi nhuận -Dự án Akari,220.648.072.577,127.970.038.221,,,220648072577.0,127970038221.0
Nam Long ADC,Các khoản phải trả ngắn hạn khác > Nam Long ADC,Nam Long ADC,Công ty con,Chia lợi nhuận -Dự án Ehome,46.734.750.400,46.734.750.400,,,46734750400.0,46734750400.0
Nam Long ADC,Các khoản phải trả ngắn hạn khác > Nam Long ADC,Nam Long ADC,Công ty con,Nhận góp vốnHĐHTKD -Dự án Ehome,16.993.724.484,56.993.724.484,,,16993724484.0,56993724484.0
Nam LongMekong,Các khoản phải trả ngắn hạn khác > Nam LongMekong,Nam LongMekong,Công ty con,Lãi vay,77.500.000,-,,,77500000.0,
Nam Phan,Các khoản phải trả ngắn hạn khác > Nam Phan,Nam Phan,Công ty con,Khác,138.678.918,138.678.918,,,138678918.0,138678918.0
,,,,,867.592.726.379,814.837.192.023,,,867592726379.0,814837192023.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Nam Phan,Vay ngắn hạn > Nam Phan,Nam Phan,Công ty con,Vay,183.042.091.910,192.042.091.910,,,183042091910.0,192042091910.0
Nam Phát Land,Vay ngắn hạn > Nam Phát Land,Nam Phát Land,Công ty con,Vay,110.000.000.000,-,,,110000000000.0,
Nam Khang,Vay ngắn hạn > Nam Khang,Nam Khang,Công ty con,Vay,105.000.000.000,223.000.000.000,,,105000000000.0,223000000000.0
Kikyo Valora,Vay ngắn hạn > Kikyo Valora,Kikyo Valora,Công ty con,Vay,100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
Nam LongMekong,Vay ngắn hạn > Nam LongMekong,Nam LongMekong,Công ty con,Vay,49.020.552.171,-,,,49020552171.0,
Nguyên Sơn,Vay ngắn hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,36.000.000.000,129.500.000.000,,,36000000000.0,129500000000.0
Vận tải Nam Long,Vay ngắn hạn > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Vay,1.400.000.000,9.000.000.000,,,1400000000.0,9000000000.0
,,,,,584.462.644.081,653.542.091.910,,,584462644081.0,653542091910.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Nam Long Mekong,Vay dài hạn > Nam Long Mekong,Nam Long Mekong,Công ty con,Vay,-,34.020.552.171,,,,34020552171.0
