row_label_raw,row_label_full,Nam Long VCD,Công ty con,Ứng trước dịch vụ quản lý dự án,299.327.007.000,col_4,numeric__Công ty con,numeric__Ứng trước dịch vụ quản lý dự án,numeric__299.327.007.000,numeric__col_4
NLG - NNR - HRFuji,NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Ứng trước mua một phần dự án Akari,267.000.000.000,267.000.000.000,,,267000000000.0,267000000000.0
WaterfrontĐồng Nai,WaterfrontĐồng Nai,WaterfrontĐồng Nai,Công ty con,Ứng trước dịch vụ,3.275.072.193,,,,3275072193.0,
,,,,,569.602.079.193,267.000.000.000,,,569602079193.0,267000000000.0
