row_label_raw,row_label_full,Bên liên quan > Nam Long VCD (**),Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Nhận cổ tức > Phí dịch vụ quản lý > Chi phí thuê > Doanh thu từ dịch vụ quản lý dự án (*) > Góp vốn,Năm nay > 54.684.134.250 > 2.837.293.736 > 2.380.138.946 > 673.333.334 > -,VNDNăm trước > 53.431.441.650 > 728.697.085 > 2.402.883.636 > 1.000.000.000 > 1.000.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Nhận cổ tức > Phí dịch vụ quản lý > Chi phí thuê > Doanh thu từ dịch vụ quản lý dự án (*) > Góp vốn,numeric__Năm nay > 54.684.134.250 > 2.837.293.736 > 2.380.138.946 > 673.333.334 > -,numeric__VNDNăm trước > 53.431.441.650 > 728.697.085 > 2.402.883.636 > 1.000.000.000 > 1.000.000.000.000
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Chuyển nhượng vốn,-,572.669.491.525,,,,572669491525.0
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Nhận chuyển nhượng cổ phần,-,358.600.000.000,,,,358600000000.0
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Tạm ứng mua cổ phần,-,293.769.491.525,,,,293769491525.0
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,Doanh thu từ dịch vụ quản lý dự án (*),160.206.066.260,414.578.907.409,,,160206066260.0,414578907409.0
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,Ứng trước dịch vụ Góp vốn,3.275.072.193,-,,,3275072193.0,
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,,-,349.652.100.000,,,,349652100000.0
Southgate,Southgate,Southgate,Công ty con,Doanh thu từ dịch vụ quản lý dự án (*),231.875.648.382,317.296.301.853,,,231875648382.0,317296301853.0
Southgate,Southgate,Southgate,Công ty con,Nhận cổ tức,57.000.000.000,57.000.000.000,,,57000000000.0,57000000000.0
Nam Long Land (***),Nam Long Land (***),Nam Long Land (***),Công ty con,Phí tư vấn quản lý,197.287.669.500,289.896.733.162,,,197287669500.0,289896733162.0
Nam Long Land (***),Nam Long Land (***),Nam Long Land (***),Công ty con,Phải thu cổ tức,85.000.000.000,-,,,85000000000.0,
Nam Long Land (***),Nam Long Land (***),Nam Long Land (***),Công ty con,Nhận cổ tức,-,40.000.000.000,,,,40000000000.0
Nam Long Land (***),Nam Long Land (***),Nam Long Land (***),Công ty con,Góp vốn,-,20.000.000.000,,,,20000000000.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Doanh thu từ dịch vụ quản lý dự án (*),323.745.386.150,268.568.989.360,,,323745386150.0,268568989360.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Hoàn vốn,210.000.000.000,-,,,210000000000.0,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Phải thu cổ tức,17.500.000.000,30.000.000.000,,,17500000000.0,30000000000.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Nhận cổ tức,11.485.296.803,15.989.041.096,,,11485296803.0,15989041096.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Trả gốc vay,118.000.000.000,157.000.000.000,,,118000000000.0,157000000000.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Cổ tức được chia,105.700.000.000,225.000.000.000,,,105700000000.0,225000000000.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Chi phí xây dựng,95.212.382.190,25.594.747.211,,,95212382190.0,25594747211.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Lãi vay,17.548.472.223,25.009.333.334,,,17548472223.0,25009333334.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Phải thu cổ tức,105.000.000.000,-,,,105000000000.0,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụ quản lý,5.418.659.336,2.580.109.241,,,5418659336.0,2580109241.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,"Doanh thu từ dịch vụ quản lý, tiếp thị, môi giới và bán hàng dự án (*)",1.733.464.953,7.836.095.562,,,1733464953.0,7836095562.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Nhận cổ tức,-,189.000.000.000,,,,189000000000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Trả gốc vay,-,154.000.000.000,,,,154000000000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,-,10.030.223.668,,,,10030223668.0
