row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,14.504.849,18.348.534,,4.0,14504849.0,18348534.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,58.104.503,92.557.809,,5.0,58104503.0,92557809.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,336.468.607,313.637.444,,6.0,336468607.0,313637444.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,312.001.875,283.727.719,,,312001875.0,283727719.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,30.175.707,40.749.725,,,30175707.0,40749725.0
3,A > 3,3,Dự phòng rủi ro,,(5.708.975),(10.840.000),,,-5708975.0,-10840000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,2.495.408,1.499.687,,7.0,2495408.0,1499687.0
1,A > 1,1,Chứng khoán kinh doanh,,2.511.395,1.543.575,,,2511395.0,1543575.0
2,A > 2,2,Dự phòng giảm giá chứng khoán kinh doanh,,(15.987),(43.888),,,-15987.0,-43888.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,-,156.515,,18.0,,156515.0
VI,A > VI,VI,Cho vay khách hàng,,1.241.675.333,1.120.286.832,,,1241675333.0,1120286832.0
1,A > 1,1,Cho vay khách hàng,8,1.270.359.018,1.145.066.250,,8.0,1270359018.0,1145066250.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(28.683.685),(24.779.418),,9.0,-28683685.0,-24779418.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,145.780.067,196.171.213,,10.0,145780067.0,196171213.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,67.882.480,100.739.670,,,67882480.0,100739670.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,78.009.747,95.513.376,,,78009747.0,95513376.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(112.160),(81.833),,,-112160.0,-81833.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,2.224.945,2.193.535,,,2224945.0,2193535.0
2,A > 2,2,Vốn góp liên doanh,11(a),826.152,771.075,,,826152.0,771075.0
3,A > 3,3,Đầu tư vào công ty liên kết,11(b),12.073,11.314,,,12073.0,11314.0
4,A > 4,4,Đầu tư dài hạn khác,11(c),1.529.145,1.529.145,,,1529145.0,1529145.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11(d),(142.425),(117.999),,,-142425.0,-117999.0
X,A > X,X,Tài sản cố định,,7.708.181,7.985.400,,,7708181.0,7985400.0
1,A > 1,1,Tài sản cố định hữu hình,12,5.115.612,5.170.083,,12.0,5115612.0,5170083.0
a,A > a,a,Nguyên giá tài sản cố định,,14.714.588,13.950.174,,,14714588.0,13950174.0
b,A > b,b,Khẩu hao tài sản cố định,,(9.598.976),(8.780.091),,,-9598976.0,-8780091.0
3,A > 3,3,Tài sản cố định vô hình,13,2.592.569,2.815.317,,13.0,2592569.0,2815317.0
a,A > a,a,Nguyên giá tài sản cố định,,4.906.881,4.789.089,,,4906881.0,4789089.0
b,A > b,b,Hao mòn tài sản cố định,,(2.314.312),(1.973.772),,,-2314312.0,-1973772.0
XII,A > XII,XII,Tài sản Có khác,,30.651.305,60.978.201,,,30651305.0,60978201.0
1,A > 1,1,Các khoản phải thu,14(a),11.790.173,24.483.406,,,11790173.0,24483406.0
2,A > 2,2,"Các khoản lãi, phí phải thu",14(b),9.200.022,9.209.121,,,9200022.0,9209121.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,14(c),848.268,958.065,,,848268.0,958065.0
4,A > 4,4,Tài sản Có khác,14(d),8.828.305,26.339.829,,,8828305.0,26339829.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,14(d),(15.463),(12.220),,,-15463.0,-12220.0
,,,TỔNG TÀI SẢN CÓ,,1.839.613.198,1.813.815.170,,,1839613198.0,1813815170.0
