row_label_raw,row_label_full,Thuế phải trả (Thuyết minh 37),31/12/2023Triệu VND > 4.904.454,31/12/2022Triệu VND > 5.359.694,numeric__31/12/2023Triệu VND > 4.904.454,numeric__31/12/2022Triệu VND > 5.359.694
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,4.677.543,5.086.976,4677543.0,5086976.0
- Thuế giá trị gia tăng phải trả,- Thuế giá trị gia tăng phải trả,- Thuế giá trị gia tăng phải trả,57.320,57.863,57320.0,57863.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,169.591,214.855,169591.0,214855.0
Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,Doanh thu nhận trước chờ phân bổ,1.679.636,3.457.340,1679636.0,3457340.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,825.019,1.014.573,825019.0,1014573.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,454.494,527.533,454494.0,527533.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,3.130.640,1.139.739,3130640.0,1139739.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,236.224,355.725,236224.0,355725.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.533,64528.0,64533.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,613.574,707.141,613574.0,707141.0
Phải trả khác,Phải trả khác,Phải trả khác,2.513.774,55.920.255,2513774.0,55920255.0
,,,14.422.343,68.546.533,14422343.0,68546533.0
