row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mắt, vàng bạc, đá quý",-,14.504.849,-,-,-,-,-,-,14.504.849,,,14504849.0,,,,,,,14504849.0
II,II,II,Tiền gửi tại NHNN,-,-,58.104.503,-,-,-,-,-,58.104.503,,,,58104503.0,,,,,,58104503.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,714.514,313.467.907,14.879.251,9.808.511,3.307.399,-,-,342.177.582,,,714514.0,313467907.0,14879251.0,9808511.0,3307399.0,,,342177582.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,262.173,2.249.222,-,-,-,-,-,2.511.395,,,262173.0,2249222.0,,,,,,2511395.0
VI,VI,VI,Cho vay khách hàng – gộp,22.458.382,-,229.160.404,447.055.654,404.229.941,96.683.794,69.388.826,1.382.017,1.270.359.018,,22458382.0,,229160404.0,447055654.0,404229941.0,96683794.0,69388826.0,1382017.0,1270359018.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,9.076.901,5.335.655,12.844.188,15.607.784,77.673.439,25.354.260,145.892.227,,,,9076901.0,5335655.0,12844188.0,15607784.0,77673439.0,25354260.0,145892227.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,2.367.370,-,-,-,-,-,-,2.367.370,,,2367370.0,,,,,,,2367370.0
IX,IX,IX,Tài sản cố định,-,7.708.181,-,-,-,-,-,-,7.708.181,,,7708181.0,,,,,,,7708181.0
X,X,X,Tài sản Có khác – gộp,-,30.666.768,-,-,-,-,-,-,30.666.768,,,30666768.0,,,,,,,30666768.0
,,,Tổng tài sản,22.458.382,56.223.855,612.058.937,467.270.560,426.882.640,115.598.977,147.062.265,26.736.277,1.874.291.893,,22458382.0,56223855.0,612058937.0,467270560.0,426882640.0,115598977.0,147062265.0,26736277.0,1874291893.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,210.310.694,4.408.283,766.628,24.212,-,-,215.509.817,,,,210310694.0,4408283.0,766628.0,24212.0,,,215509817.0
II,II,II,Tiền gửi của khách hàng,-,131.310,772.395.442,207.337.800,211.311.961,197.489.909,7.002.423,28.766,1.395.697.611,,,131310.0,772395442.0,207337800.0,211311961.0,197489909.0,7002423.0,28766.0,1395697611.0
III,III,III,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,117.752,-,-,-,-,-,-,117.752,,,117752.0,,,,,,,117752.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,-,365,-,-,365,,,,,,,365.0,,,365.0
V,V,V,Phát hành giấy tờ có giá,-,-,30,-,2.000.000,16.547.593,-,1.365.000,19.912.623,,,,30.0,,2000000.0,16547593.0,,1365000.0,19912623.0
VI,VI,VI,Các khoản nợ phải trả khác,-,42.748.790,-,613.574,-,-,-,-,43.362.364,,,42748790.0,,613574.0,,,,,43362364.0
,,,Tổng nợ phải trả,-,42.997.852,982.706.166,212.359.657,214.078.589,214.062.079,7.002.423,1.393.766,1.674.600.532,,,42997852.0,982706166.0,212359657.0,214078589.0,214062079.0,7002423.0,1393766.0,1674600532.0
,,,Mức chênh nhạy cảm với lãi suất nội bảng,22.458.382,13.226.003,(370.647.229),254.910.903,212.804.051,(98.463.102),140.059.842,25.342.511,199.691.361,,22458382.0,13226003.0,-370647229.0,254910903.0,212804051.0,-98463102.0,140059842.0,25342511.0,199691361.0
,,,Lũy kế chênh lệch nhạy cảm với lãi suất,22.458.382,35.684.385,(334.962.844),(80.051.941),132.752.110,34.289.008,174.348.850,199.691.361,,,22458382.0,35684385.0,-334962844.0,-80051941.0,132752110.0,34289008.0,174348850.0,199691361.0,
