row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,15,1.670.837,67.314.816,,15.0,1670837.0,67314816.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNN,,1.670.837,67.314.816,,,1670837.0,67314816.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,213.838.980,232.510.850,,16.0,213838980.0,232510850.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,193.963.218,222.040.585,,,193963218.0,222040585.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,19.875.762,10.470.265,,,19875762.0,10470265.0
III,B > III,III,Tiền gửi của khách hàng,17,1.395.697.611,1.243.468.471,,17.0,1395697611.0,1243468471.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,18,117.752,-,,18.0,117752.0,
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,365,3.298,,19.0,365.0,3298.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,19.912.623,25.337.894,,20.0,19912623.0,25337894.0
VII,B > VII,VII,Các khoản nợ khác,,43.362.364,109.533.756,,,43362364.0,109533756.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),19.527.028,12.485.332,,,19527028.0,12485332.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),23.835.336,97.048.424,,,23835336.0,97048424.0
,,,TỔNG NỘ PHẢI TRẢ,,1.674.600.532,1.678.169.085,,,1674600532.0,1678169085.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,,,,22.0,,
1,B > 1,1,Vốn của tổ chức tín dụng,,61.696.139,53.130.392,,,61696139.0,53130392.0
a,B > a,a,Vốn điều lệ,,55.890.913,47.325.166,,,55890913.0,47325166.0
c,B > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,B > g,g,Vốn khác,,809.837,809.837,,,809837.0,809837.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,27.447.116,22.556.958,,,27447116.0,22556958.0
3,B > 3,3,Chênh lệch tỷ giá hối đoái,,(983.237),(863.071),,,-983237.0,-863071.0
5,B > 5,5,Lợi nhuận chưa phân phối,,76.758.658,60.733.423,,,76758658.0,60733423.0
a,B > a,a,Lợi nhuận để lại năm trước,,51.185.561,37.607.427,,,51185561.0,37607427.0
b,B > b,b,Lợi nhuận để lại năm nay,,25.573.097,23.125.996,,,25573097.0,23125996.0
6,B > 6,6,Lợi ích của cổ đông không kiểm soát,,93.990,88.383,,,93990.0,88383.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),165.012.666,135.646.085,,,165012666.0,135646085.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.839.613.198,1.813.815.170,,,1839613198.0,1813815170.0
