row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:_1,Miền Bắc (*)Triệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2023:_1,numeric__Miền Bắc (*)Triệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
I,I,I,Thu nhập lãi và các khoản thu nhập tương tự,148.732.308(128.733.911),25.825.781(17.631.695),77.110.648(51.764.674),134.801(59.195),(143.681.260)143.688.066,108.122.278(54.501.409),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,,,,,,,,,,,,,
I,2 > I,I,Thu nhập lãi thuần,19.998.397,8.194.086,25.345.974,75.606,6.806,53.620.869,,19998397.0,8194086.0,25345974.0,75606.0,6806.0,53620869.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,8.586.749,762.007,3.341.994,115.731,(173.742),12.632.739,,8586749.0,762007.0,3341994.0,115731.0,-173742.0,12632739.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(6.690.171),(40.698),(117.428),(29.875),25.156,(6.853.016),,-6690171.0,-40698.0,-117428.0,-29875.0,25156.0,-6853016.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,1.896.578,721.309,3.224.566,85.856,(148.586),5.779.723,,1896578.0,721309.0,3224566.0,85856.0,-148586.0,5779723.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,3.535.191,255.809,1.848.812,399,19.817,5.660.028,,3535191.0,255809.0,1848812.0,399.0,19817.0,5660028.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,131.022,-,-,-,(6.805),124.217,,131022.0,,,,-6805.0,124217.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,-,-,-,-,-,-,,,,,,,
5,V > 5,5,Thu nhập từ hoạt động khác,2.730.636,481.363,837.562,583,-,4.050.144,,2730636.0,481363.0,837562.0,583.0,,4050144.0
6,V > 6,6,Chi phí hoạt động khác,(1.284.500),(115.302),(377.854),(319),-,(1.777.975),,-1284500.0,-115302.0,-377854.0,-319.0,,-1777975.0
VI,V > VI,VI,Lãi thuần từ hoạt động khác,1.446.136,366.061,459.708,264,-,2.272.169,,1446136.0,366061.0,459708.0,264.0,,2272169.0
VII,V > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",266.456,-,-,-,-,266.456,,266456.0,,,,,266456.0
,,,Tổng thu nhập hoạt động,27.273.780,9.537.265,30.879.060,162.125,(128.768),67.723.462,,27273780.0,9537265.0,30879060.0,162125.0,-128768.0,67723462.0
VIII,V > VIII,VIII,Chi phí hoạt động,(12.704.033),(2.462.350),(6.784.513),(112.473),148.470,(21.914.899),,-12704033.0,-2462350.0,-6784513.0,-112473.0,148470.0,-21914899.0
IX,V > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.569.747,7.074.915,24.094.547,49.652,19.702,45.808.563,,14569747.0,7074915.0,24094547.0,49652.0,19702.0,45808563.0
X,V > X,X,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,3.748.209,(4.214.605),(4.100.699),2.219,-,(4.564.876),,3748209.0,-4214605.0,-4100699.0,2219.0,,-4564876.0
XI,V > XI,XI,Tổng lợi nhuận trước thuế,18.317.956,2.860.310,19.993.848,51.871,19.702,41.243.687,,18317956.0,2860310.0,19993848.0,51871.0,19702.0,41243687.0
7,V > 7,7,Chi phí thuế TNDN hiện hành,(3.501.783),(572.062),(3.998.548),(7.008),-,(8.079.401),,-3501783.0,-572062.0,-3998548.0,-7008.0,,-8079401.0
8,V > 8,8,Chi phí thuế TNDN hoãn lại,(109.838),-,-,-,-,(109.838),,-109838.0,,,,,-109838.0
XII,V > XII,XII,Chi phí thuế TNDN,(3.611.621),(572.062),(3.998.548),(7.008),-,(8.189.239),,-3611621.0,-572062.0,-3998548.0,-7008.0,,-8189239.0
XIII,V > XIII,XIII,Lợi nhuận sau thuế,14.706.335,2.288.248,15.995.300,44.863,19.702,33.054.448,,14706335.0,2288248.0,15995300.0,44863.0,19702.0,33054448.0
