row_label_raw,row_label_full,Loại tiền gửi,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Tiền gửi bằng LAK,Tiền gửi bằng LAK,Tiền gửi bằng LAK,8%,5%,0.08,0.05
Tiền gửi bằng ngoại tệ khác,Tiền gửi bằng ngoại tệ khác,Tiền gửi bằng ngoại tệ khác,10%,5%,0.1,0.05
