row_label_raw,row_label_full,1,Bảo lãnh vay vốn,col_2,306.384,2.151.637,numeric__Bảo lãnh vay vốn,numeric__col_2,numeric__306.384,numeric__2.151.637
2,2,2,Cam kết giao dịch hồi đoái,,111.435.962,83.320.732,,,111435962.0,83320732.0
2,2,2,Cam kết mua ngoại tệ,,3.375.603,1.027.038,,,3375603.0,1027038.0
2,2,2,Cam kết bán ngoại tệ,,3.798.668,1.028.925,,,3798668.0,1028925.0
2,2,2,Cam kết giao dịch hoán đổi,,104.261.691,81.264.769,,,104261691.0,81264769.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,,76.546.157,84.748.838,,,76546157.0,84748838.0
5,5,5,Bảo lãnh khác,,53.731.430,48.477.552,,,53731430.0,48477552.0
6,6,6,Các cam kết khác,,41.472.190,35.760.608,,,41472190.0,35760608.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,45,2.424.612,1.301.468,,45.0,2424612.0,1301468.0
8,8,8,Nợ khó đòi đã xử lý,46,67.906.657,60.213.929,,46.0,67906657.0,60213929.0
9,9,9,Tài sản và chứng từ khác,47,575.204.402,521.264.498,,47.0,575204402.0,521264498.0
