row_label_raw,row_label_full,Chứng khoán đầu tư giữ đến ngày đáo hạn,31/12/2023Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn,31/12/2022Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__31/12/2023Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__31/12/2022Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn
Trái phiếu Chính phủ,Trái phiếu Chính phủ,Trái phiếu Chính phủ,43.724.246,37.915.262,43724246.0,37915262.0
Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán nợ do các TCTD khác trong nước phát hành,24.098.000,46.589.000,24098000.0,46589000.0
Chứng khoán nợ do các TCKT trong nước phát hành,Chứng khoán nợ do các TCKT trong nước phát hành,Chứng khoán nợ do các TCKT trong nước phát hành,10.187.501,11.009.114,10187501.0,11009114.0
,,,78.009.747,95.513.376,78009747.0,95513376.0
Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),(112.160),(81.833),-112160.0,-81833.0
Tổng chứng khoán đầu tư giữ đến ngày đáo hạn,Tổng chứng khoán đầu tư giữ đến ngày đáo hạn,Tổng chứng khoán đầu tư giữ đến ngày đáo hạn,77.897.587,95.431.543,77897587.0,95431543.0
