row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023: > Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngành kinh doanh > Ngân hàng,"Tỷ lệ vốn góp(%) > 4,50%",Giá gốcTriệu VND > 319.908,numeric__Ngành kinh doanh > Ngân hàng,"numeric__Tỷ lệ vốn góp(%) > 4,50%",numeric__Giá gốcTriệu VND > 319.908
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"4,35%",802.269,,0.0435,802269.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Dịch vụ thông tin,,,,,
Việt Nam,Công ty Cổ phần Thông tin tín dụng > Việt Nam,Việt Nam,tín dụng,"6,64%",7.962,,0.0664,7962.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Đầu tư,,,,,
Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư > Tài chính Việt Nam,Tài chính Việt Nam,đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia,Công ty Cổ phần Thanh toán Quốc gia,Công ty Cổ phần Thanh toán Quốc gia,"Dịch vụ thể,",,,,,
Việt Nam,Công ty Cổ phần Thanh toán Quốc gia > Việt Nam,Việt Nam,thanh toán,"1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Công ty Cổ phần Thanh toán Quốc gia > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"0,67%",248.770,,0.0067,248770.0
"SWIFT, MASTER và VISA","Công ty Cổ phần Thanh toán Quốc gia > SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán","0,00%",2.936,,0.0,2936.0
