row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2023:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,250.211.934(197.567.231),667.383(294.058),857.312(309.152),66.909(19.033),(143.681.260)143.688.065,108.122.278(54.501.409),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,250.211.934(197.567.231),667.383(294.058),857.312(309.152),66.909(19.033),(143.681.260)143.688.065,108.122.278(54.501.409),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,52.644.703,373.325,548.160,47.876,6.805,53.620.869,,52644703.0,373325.0,548160.0,47876.0,6805.0,53620869.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,12.134.282,9.194,377.753,285.253,(173.743),12.632.739,,12134282.0,9194.0,377753.0,285253.0,-173743.0,12632739.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(6.698.882),(1.530),(99.832),(77.927),25.155,(6.853.016),,-6698882.0,-1530.0,-99832.0,-77927.0,25155.0,-6853016.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,5.435.400,7.664,277.921,207.326,(148.588),5.779.723,,5435400.0,7664.0,277921.0,207326.0,-148588.0,5779723.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,5.632.505,7.706,-,-,19.817,5.660.028,,5632505.0,7706.0,,,19817.0,5660028.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,52.553,-,78.469,-,(6.805),124.217,,52553.0,,78469.0,,-6805.0,124217.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán đầu tư,-,-,-,-,-,-,,,,,,,
5,IV > 5,5,Thu nhập từ hoạt động khác,4.003.229,8.772,37.563,580,-,4.050.144,,4003229.0,8772.0,37563.0,580.0,,4050144.0
6,IV > 6,6,Chi phí hoạt động khác,(1.741.248),-,(36.689),(38),-,(1.777.975),,-1741248.0,,-36689.0,-38.0,,-1777975.0
VI,IV > VI,VI,Lãi thuần từ hoạt động khác,2.261.981,8.772,874,542,-,2.272.169,,2261981.0,8772.0,874.0,542.0,,2272169.0
VII,IV > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",257.764,-,8.692,-,-,266.456,,257764.0,,8692.0,,,266456.0
,,,Tổng thu nhập hoạt động,66.284.906,397.467,914.116,255.744,(128.771),67.723.462,,66284906.0,397467.0,914116.0,255744.0,-128771.0,67723462.0
VIII,IV > VIII,VIII,Chi phí hoạt động,(21.443.121),(145.352),(340.069),(134.827),148.470,(21.914.899),,-21443121.0,-145352.0,-340069.0,-134827.0,148470.0,-21914899.0
IX,IV > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,44.841.785,252.115,574.047,120.917,19.699,45.808.563,,44841785.0,252115.0,574047.0,120917.0,19699.0,45808563.0
X,IV > X,X,Chi phí dự phòng rủi ro tín dụng,(4.473.757),(91.119),-,-,-,(4.564.876),,-4473757.0,-91119.0,,,,-4564876.0
XI,IV > XI,XI,Tổng lợi nhuận trước thuế,40.368.028,160.996,574.047,120.917,19.699,41.243.687,,40368028.0,160996.0,574047.0,120917.0,19699.0,41243687.0
7,IV > 7,7,Chi phí thuế TNDN hiện hành,(7.920.103),(31.469),(106.960),(20.869),-,(8.079.401),,-7920103.0,-31469.0,-106960.0,-20869.0,,-8079401.0
8,IV > 8,8,Chi phí thuế TNDN hoãn lại,(103.735),-,(6.103),-,-,(109.838),,-103735.0,,-6103.0,,,-109838.0
XII,IV > XII,XII,Chi phí thuế TNDN,(8.023.838),(31.469),(113.063),(20.869),-,(8.189.239),,-8023838.0,-31469.0,-113063.0,-20869.0,,-8189239.0
XIII,IV > XIII,XIII,Lợi nhuận sau thuế,32.344.190,129.527,460.984,100.048,19.699,33.054.448,,32344190.0,129527.0,460984.0,100048.0,19699.0,33054448.0
