row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,47.325.166,4.995.389,809.837,7.509.504,15.007.555,39.899,22.556.958,(863.071),60.733.423,88.383,135.646.085,47325166.0,4995389.0,809837.0,7509504.0,15007555.0,39899.0,22556958.0,-863071.0,60733423.0,88383.0,135646085.0
Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,-,-,-,-,-,-,-,-,33.033.203,21.245,33.054.448,,,,,,,,,33033203.0,21245.0,33054448.0
Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,Lợi nhuận thuần trong năm Phát hành cổ phiếu thường tăng vốn trong kỳ,8.565.747,-,-,-,-,-,-,-,(8.565.747),-,-,8565747.0,,,,,,,,-8565747.0,,
Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,-,-,-,1.621.904,3.243.808,-,4.865.712,-,(4.865.712),-,-,,,,1621904.0,3243808.0,,4865712.0,,-4865712.0,,
"Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023 của Ngân hàng","Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023 của Ngân hàng","Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023 của Ngân hàng",-,-,-,-,-,-,-,-,(2.563.140),-,(2.563.140),,,,,,,,,-2563140.0,,-2563140.0
Điều chính trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,Điều chính trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,Điều chính trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,-,-,-,154,308,-,462,-,(955.224),-,(954.762),,,,154.0,308.0,,462.0,,-955224.0,,-954762.0
Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,Trả cổ tức theo Nghị quyết của Công ty con,-,-,-,-,-,-,-,-,-,(15.627),(15.627),,,,,,,,,,-15627.0,-15627.0
Trích quỹ của các Công ty con,Trích quỹ của các Công ty con,Trích quỹ của các Công ty con,-,-,-,6.166,12.331,-,18.497,-,(31.254),-,(12.757),,,,6166.0,12331.0,,18497.0,,-31254.0,,-12757.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(891),-,(891),-,-,-,(891),,,,,-891.0,,-891.0,,,,-891.0
Điều chính theo Nghị quyết của Công ty con,Điều chính theo Nghị quyết của Công ty con,Điều chính theo Nghị quyết của Công ty con,-,-,-,-,3.877,2.501,6.378,-,(46.338),(680),(40.640),,,,,3877.0,2501.0,6378.0,,-46338.0,-680.0,-40640.0
"Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,4.021,-,4.021,,,,,,,,,4021.0,,4021.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,(120.166),-,669,(119.497),,,,,,,,-120166.0,,669.0,-119497.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,15.426,-,15.426,,,,,,,,,15426.0,,15426.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,55.890.913,4.995.389,809.837,9.137.728,18.266.988,42.400,27.447.116,(983.237),76.758.658,93.990,165.012.666,55890913.0,4995389.0,809837.0,9137728.0,18266988.0,42400.0,27447116.0,-983237.0,76758658.0,93990.0,165012666.0
