row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,58.104.503,-,-,58.104.503,58104503.0,,,58104503.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,335.977.582,-,6.200.000,342.177.582,335977582.0,,6200000.0,342177582.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,312.001.875,-,-,312.001.875,312001875.0,,,312001875.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,23.975.707,-,6.200.000,30.175.707,23975707.0,,6200000.0,30175707.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,2.249.222,-,-,2.249.222,2249222.0,,,2249222.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.234.085.339,8.618.819,27.654.860,1.270.359.018,1234085339.0,8618819.0,27654860.0,1270359018.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,145.713.476,-,178.751,145.892.227,145713476.0,,178751.0,145892227.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,67.882.480,-,-,67.882.480,67882480.0,,,67882480.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,77.830.996,-,178.751,78.009.747,77830996.0,,178751.0,78009747.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,24.539.444,-,-,24.539.444,24539444.0,,,24539444.0
,,,1.800.669.566,8.618.819,34.033.611,1.843.321.996,1800669566.0,8618819.0,34033611.0,1843321996.0
