row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.393.551,-,-,-,-,1.393.551,1.393.551,1393551.0,,,,,1393551.0,1393551.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.689.730,-,-,3.689.730,(*),,,3689730.0,,,3689730.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,39.243.600,-,-,39.243.600,(*),,,39243600.0,,,39243600.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,39.287,-,-,-,-,39.287,(*),39287.0,,,,,39287.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,120.643.542,-,-,120.643.542,(*),,,120643542.0,,,120643542.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,446.344,-,-,-,-,446.344,(*),446344.0,,,,,446344.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,31.554.087,-,31.554.087,(*),,,,31554087.0,,31554087.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,10.036,-,10.036,(*),,,,10036.0,,10036.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,16.382.929,-,-,16.382.929,(*),,,16382929.0,,,16382929.0,
,,,1.879.182,-,179.959.801,31.564.123,-,213.403.106,,1879182.0,,179959801.0,31564123.0,,213403106.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,1.014.560,1.014.560,(*),,,,,1014560.0,1014560.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,50.374.160,50.374.160,(*),,,,,50374160.0,50374160.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,117.120.779,117.120.779,(*),,,,,117120779.0,117120779.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,11.599.514,11.599.514,(*),,,,,11599514.0,11599514.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,4.357.174,4.357.174,(*),,,,,4357174.0,4357174.0,
,,,-,-,-,-,184.466.187,184.466.187,,,,,,184466187.0,184466187.0,
