row_label_raw,row_label_full,col_0,Dư phòng chung triệu đồng,Dư phòng cụ thể triệu đồng,Tổng cộng triệu đồng,numeric__Dư phòng chung triệu đồng,numeric__Dư phòng cụ thể triệu đồng,numeric__Tổng cộng triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,555.137,287.874,843.011,555137.0,287874.0,843011.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,199.837,2.008.811,2.208.648,199837.0,2008811.0,2208648.0
Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,-,(1.364.851),(1.364.851),,-1364851.0,-1364851.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,754.974,931.834,1.686.808,754974.0,931834.0,1686808.0
