row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Khác dịch/số dư nội bộ triệu đồng,Loại trừ giao triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Khác dịch/số dư nội bộ triệu đồng,numeric__Loại trừ giao triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,35.935.715,-,(13.043.752),22.891.963,35935715.0,,-13043752.0,22891963.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,26.277.328,-,(13.025.214),13.252.114,26277328.0,,-13025214.0,13252114.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.605.139,-,(38),1.605.101,1605139.0,,-38.0,1605101.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,8.053.248,-,(18.500),8.034.748,8053248.0,,-18500.0,8034748.0
II. Chi phí,II. Chi phí,II. Chi phí,(29.641.579),-,13.015.326,(16.626.253),-29641579.0,,13015326.0,-16626253.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(17.955.540),-,13.025.217,(4.930.323),-17955540.0,,13025217.0,-4930323.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(103.376),-,53,(103.323),-103376.0,,53.0,-103323.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(11.582.663),-,(9.944),(11.592.607),-11582663.0,,-9944.0,-11592607.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,6.294.136,-,(28.426),6.265.710,6294136.0,,-28426.0,6265710.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(497.007),-,18.500,(478.507),-497007.0,,18500.0,-478507.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,5.797.129,-,(9.926),5.787.203,5797129.0,,-9926.0,5787203.0
