row_label_raw,row_label_full,Tiền gửi,(91.139),(51.646),numeric__(91.139),numeric__(51.646)
Tiền vay,Tiền vay,Tiền vay,53.811,30.475,53811.0,30475.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,202,122,202.0,122.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(897),(652),-897.0,-652.0
