row_label_raw,row_label_full,col_0,col_1,Tài chínhngân hàngtriệu đồng,Khác triệu đồng,Loại trừ giao dịch/số dư nội bộ triệu đồng,Tổng cộng triệu đồng,numeric__col_1,numeric__Tài chínhngân hàngtriệu đồng,numeric__Khác triệu đồng,numeric__Loại trừ giao dịch/số dư nội bộ triệu đồng,numeric__Tổng cộng triệu đồng
III.,III.,III.,Tài sản,214.866.445,-,(2.090.587),212.775.858,,214866445.0,,-2090587.0,212775858.0
1.,1.,1.,Tiền mặt,1.393.551,-,-,1.393.551,,1393551.0,,,1393551.0
2.,2.,2.,Tài sản cố định,383.125,-,(252),382.873,,383125.0,,-252.0,382873.0
3.,3.,3.,Tài sản khác,213.089.769,-,(2.090.335),210.999.434,,213089769.0,,-2090335.0,210999434.0
IV.,IV.,IV.,Nợ phải trả,187.540.275,-,(1.418.415),186.121.860,,187540275.0,,-1418415.0,186121860.0
1.,1.,1.,Nợ phải trả khách hàngbên ngoài,2.824.965,-,(60.698),2.764.267,,2824965.0,,-60698.0,2764267.0
2.,2.,2.,Nợ phải trả nội bộ,964.796,-,-,964.796,,964796.0,,,964796.0
3.,3.,3.,Nợ phải trả khác,183.750.514,-,(1.357.717),182.392.797,,183750514.0,,-1357717.0,182392797.0
