row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.233,444.085,18.760,515.078,52233.0,444085.0,18760.0,515078.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,102.049,1.130,103.179,,102049.0,1130.0,103179.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,-,(80),(80),,,-80.0,-80.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.233,546.134,19.810,618.177,52233.0,546134.0,19810.0,618177.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,330.020,7.230,337.250,,330020.0,7230.0,337250.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,49.040,2.424,51.464,,49040.0,2424.0,51464.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,-,(80),(80),,,-80.0,-80.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,379.060,9.574,388.634,,379060.0,9574.0,388634.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.233,114.065,11.530,177.828,52233.0,114065.0,11530.0,177828.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.233,167.074,10.236,229.543,52233.0,167074.0,10236.0,229543.0
