row_label_raw,row_label_full,Chi phí lãi tiền gửi,(42),(30),numeric__(42),numeric__(30)
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,70,37,70.0,37.0
Thu nhập từ lãi cho vay,Thu nhập từ lãi cho vay,Thu nhập từ lãi cho vay,1,-,1.0,
