row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng công,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.393.551,-,-,-,-,1.393.551,,,1393551.0,,,,,1393551.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.689.730,-,-,-,-,3.689.730,,,3689730.0,,,,,3689730.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,29.650.783,5.188.053,4.197.184,207.580,-,39.243.600,,,29650783.0,5188053.0,4197184.0,207580.0,,39243600.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,39.287,-,-,-,-,39.287,,,39287.0,,,,,39287.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,158.403,(153.246),449.765,(8.578),-,446.344,,,158403.0,-153246.0,449765.0,-8578.0,,446344.0
Cho vay khách hàng và mua nợ(*),Tài sản > Cho vay khách hàng và mua nợ(*),Cho vay khách hàng và mua nợ(*),2.068.752,1.902.217,6.657.524,15.687.425,36.102.681,31.325.453,26.899.490,120.643.542,2068752.0,1902217.0,6657524.0,15687425.0,36102681.0,31325453.0,26899490.0,120643542.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,299.684,67.446,7.028.385,11.486.762,12.671.810,31.554.087,,,299684.0,67446.0,7028385.0,11486762.0,12671810.0,31554087.0
Góp vốn đầu tư dài hạn (*),Tài sản > Góp vốn đầu tư dài hạn (*),Góp vốn đầu tư dài hạn (*),-,-,-,-,-,-,10.036,10.036,,,,,,,10036.0,10036.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,382.873,382.873,,,,,,,382873.0,382873.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),75.813,2.915,869.393,3.935.484,5.271.359,1.065.102,5.688.050,16.908.116,75813.0,2915.0,869393.0,3935484.0,5271359.0,1065102.0,5688050.0,16908116.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.144.565,1.905.132,42.758.355,24.725.162,53.049.374,44.076.319,45.652.259,214.311.166,2144565.0,1905132.0,42758355.0,24725162.0,53049374.0,44076319.0,45652259.0,214311166.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,1.650,-,1.001.629,11.281,-,1.014.560,,,1650.0,,1001629.0,11281.0,,1014560.0
Tiền gửi của và vay các TCTD khác,Nợ phải trả > Tiền gửi của và vay các TCTD khác,Tiền gửi của và vay các TCTD khác,-,-,35.409.512,5.502.416,8.400.232,1.062.000,-,50.374.160,,,35409512.0,5502416.0,8400232.0,1062000.0,,50374160.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,52.665.656,11.877.827,47.784.546,4.792.666,84,117.120.779,,,52665656.0,11877827.0,47784546.0,4792666.0,84.0,117120779.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,115.300,24.790,3.053.250,8.406.174,-,11.599.514,,,115300.0,24790.0,3053250.0,8406174.0,,11599514.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,2.423.686,600.603,1.999.420,988.003,1.135,6.012.847,,,2423686.0,600603.0,1999420.0,988003.0,1135.0,6012847.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,90.615.804,18.005.636,62.239.077,15.260.124,1.219,186.121.860,,,90615804.0,18005636.0,62239077.0,15260124.0,1219.0,186121860.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.144.565,1.905.132,(47.857.449),6.719.526,(9.189.703),28.816.195,45.651.040,28.189.306,2144565.0,1905132.0,-47857449.0,6719526.0,-9189703.0,28816195.0,45651040.0,28189306.0
