row_label_raw,row_label_full,Chi phí lãi tiền gửi,(5),(12),numeric__(5),numeric__(12)
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,145,152,145.0,152.0
Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,1,-,1.0,
