row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tàitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCĐhữu hình kháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tàitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCĐhữu hình kháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.589,411.792,95.067,89.158,499,625.105,28589.0,411792.0,95067.0,89158.0,499.0,625105.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,66.366,-,5.167,-,71.533,,66366.0,,5167.0,,71533.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(84.650),(3.148),(2.420),(273),(90.491),,-84650.0,-3148.0,-2420.0,-273.0,-90491.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.589,393.508,91.919,91.905,226,606.147,28589.0,393508.0,91919.0,91905.0,226.0,606147.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,12.794,326.008,74.585,77.515,450,491.352,12794.0,326008.0,74585.0,77515.0,450.0,491352.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,585,39.702,4.010,7.543,19,51.859,585.0,39702.0,4010.0,7543.0,19.0,51859.0
Thanh lý trong năm,Giá trị khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(84.574),(3.148),(2.399),(273),(90.394),,-84574.0,-3148.0,-2399.0,-273.0,-90394.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,13.379,281.136,75.447,82.659,196,452.817,13379.0,281136.0,75447.0,82659.0,196.0,452817.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,15.795,85.784,20.482,11.643,49,133.753,15795.0,85784.0,20482.0,11643.0,49.0,133753.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,15.210,112.372,16.472,9.246,30,153.330,15210.0,112372.0,16472.0,9246.0,30.0,153330.0
