row_label_raw,row_label_full,Giám đốc,(35.689),(27.985),numeric__(35.689),numeric__(27.985)
Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,1.295,1.705,1295.0,1705.0
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,64,263,64.0,263.0
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(2.675),(2.112),-2675.0,-2112.0
Chi phí lãi giấy tờ có giá,Chi phí lãi giấy tờ có giá,Chi phí lãi giấy tờ có giá,-,(7),,-7.0
