row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng công,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng công
,,,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 – 3 tháng,Từ 3 – 6 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Tổng công,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,1.393.551,-,-,-,-,-,-,1.393.551,,1393551.0,,,,,,,1393551.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.689.730,-,-,-,-,-,-,3.689.730,,3689730.0,,,,,,,3689730.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,125.047,29.776.145,5.124.589,3.343.410,790.301,84.108,-,39.243.600,,125047.0,29776145.0,5124589.0,3343410.0,790301.0,84108.0,,39243600.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,158.403,(153.246),409.287,40.478,(8.578),-,446.344,,,158403.0,-153246.0,409287.0,40478.0,-8578.0,,446344.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,39.287,-,-,-,-,-,-,39.287,,39287.0,,,,,,,39287.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),3.970.969,-,31.727.474,41.176.682,21.612.897,12.544.789,9.371.981,238.750,120.643.542,3970969.0,,31727474.0,41176682.0,21612897.0,12544789.0,9371981.0,238750.0,120643542.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,(972.554),450.000,3.091.000,2.800.000,5.378.385,9.135.446,11.671.810,31.554.087,,-972554.0,450000.0,3091000.0,2800000.0,5378385.0,9135446.0,11671810.0,31554087.0
Góp vốn đầu tư dài hạn (*),Tài sản > Góp vốn đầu tư dài hạn (*),Góp vốn đầu tư dài hạn (*),-,10.036,-,-,-,-,-,-,10.036,,10036.0,,,,,,,10036.0
