row_label_raw,row_label_full,Tiền gửi,(4.060),(12.676),numeric__(4.060),numeric__(12.676)
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(15),(15),-15.0,-15.0
Tiền vay,Tiền vay,Tiền vay,41,-,41.0,
Phải thu phí,Phải thu phí,Phải thu phí,1,-,1.0,
