row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,111.868.779.586.075,6.151.537.387.703,932.710.919.876,-,118.953.027.893.654,111868779586075.0,6151537387703.0,932710919876.0,,118953027893654.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,12.223.195.366.362,1.918.795.091,70.975.387.957,(12.296.089.549.410),-,12223195366362.0,1918795091.0,70975387957.0,-12296089549410.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,124.091.974.952.437,6.153.456.182.794,1.003.686.307.833,(12.296.089.549.410),118.953.027.893.654,124091974952437.0,6153456182794.0,1003686307833.0,-12296089549410.0,118953027893654.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,9.864.987.274.416,215.359.968.443,568.847.829.656,(2.998.432.283.208),7.650.762.789.307,9864987274416.0,215359968443.0,568847829656.0,-2998432283208.0,7650762789307.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Thu nhập khác,Thu nhập khác,676.848.479.829,2.580.937.801,3.657.077.011,88.886.970.854,771.973.465.495,676848479829.0,2580937801.0,3657077011.0,88886970854.0,771973465495.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí khác,Chi phí khác,(572.246.679.785),(2.742.185.089),(55.018.648.354),1.599,(630.007.511.629),-572246679785.0,-2742185089.0,-55018648354.0,1599.0,-630007511629.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(887.902.306.778),(33.512.896.461),(152.136.684.820),-,(1.073.551.888.059),-887902306778.0,-33512896461.0,-152136684820.0,,-1073551888059.0
Lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,28.065.060.932,(549.981.097),(15.221.409.481),68.917.789.613,81.211.459.967,28065060932.0,-549981097.0,-15221409481.0,68917789613.0,81211459967.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,9.109.751.828.614,181.135.843.597,350.128.164.012,(2.840.627.521.142),6.800.388.315.081,9109751828614.0,181135843597.0,350128164012.0,-2840627521142.0,6800388315081.0
