row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,178.394.670.071,172.440.151.251,6.196.510.427,357.031.331.749,178394670071.0,172440151251.0,6196510427.0,357031331749.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.109.995.724,-,2.109.995.724,,2109995724.0,,2109995724.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,9.648.792.000,-,9.648.792.000,,9648792000.0,,9648792000.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(149.633.000),-,(149.633.000),,-149633000.0,,-149633000.0
"Thanh lý, xóa số","Nguyên giá > Thanh lý, xóa số","Thanh lý, xóa số",-,(1.582.881.766),-,(1.582.881.766),,-1582881766.0,,-1582881766.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,178.394.670.071,182.466.424.209,6.196.510.427,367.057.604.707,178394670071.0,182466424209.0,6196510427.0,367057604707.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.404.396.713,111.253.018.779,4.254.764.687,145.912.180.179,30404396713.0,111253018779.0,4254764687.0,145912180179.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.642.575.920,35.362.857.423,170.079.924,38.175.513.267,2642575920.0,35362857423.0,170079924.0,38175513267.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,-,(149.633.000),-,(149.633.000),,-149633000.0,,-149633000.0
"Thanh lý, xóa số","Giá trị hao mòn lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,(1.096.434.205),-,(1.096.434.205),,-1096434205.0,,-1096434205.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,33.046.972.633,145.369.808.997,4.424.844.611,182.841.626.241,33046972633.0,145369808997.0,4424844611.0,182841626241.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,147.990.273.358,61.187.132.472,1.941.745.740,211.119.151.570,147990273358.0,61187132472.0,1941745740.0,211119151570.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,145.347.697.438,37.096.615.212,1.771.665.816,184.215.978.466,145347697438.0,37096615212.0,1771665816.0,184215978466.0
