row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,58.147.857.000.000,3.211.560.416.270,-,818.200.313.964,40.593.031.662.654,65.769.846.491,102.836.419.239.379,58147857000000.0,3211560416270.0,,818200313964.0,40593031662654.0,65769846491.0,102836419239379.0
Gớp vốn của cổ đông không kiểm soát,Gớp vốn của cổ đông không kiểm soát,Gớp vốn của cổ đông không kiểm soát,-,-,-,-,-,233.136.000.000,233.136.000.000,,,,,,233136000000.0,233136000000.0
Trả lại vốn cho cổ đông không kiểm soát,Trả lại vốn cho cổ đông không kiểm soát,Trả lại vốn cho cổ đông không kiểm soát,-,-,-,-,-,(119.560.000),(119.560.000),,,,,,-119560000.0,-119560000.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,12.021.443.836.074,(1.420.214.803),12.020.023.621.271,,,,,12021443836074.0,-1420214803.0,12020023621271.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 28),Trả cổ tức bằng cổ phiếu (Thuyết minh 28),Trả cổ tức bằng cổ phiếu (Thuyết minh 28),5.814.645.000.000,(3.211.560.416.270),-,-,(2.603.084.583.730),-,-,5814645000000.0,-3211560416270.0,,,-2603084583730.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(433.084.559.413),(35.715.587),(433.120.275.000),,,,,-433084559413.0,-35715587.0,-433120275000.0
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,(6.286.212.369),(6.286.212.369),,,,,,-6286212369.0,-6286212369.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(2.559.071.836),-,-,(2.559.071.836),,,,-2559071836.0,,,-2559071836.0
Hoàn nhập quỹ,Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,-,(20.800.000.000),20.800.000.000,-,-,,,,-20800000000.0,20800000000.0,,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,17.753.618,(53.511.364),(35.757.746),,,,,17753618.0,-53511364.0,-35757746.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,63.962.502.000.000,-,-,794.841.242.128,49.599.124.109.203,290.990.632.368,114.647.457.983.699,63962502000000.0,,,794841242128.0,49599124109203.0,290990632368.0,114647457983699.0
