row_label_raw,row_label_full,col_0,Chi phíbảo hànhVND,Dự phòng khõiphục môi trườngVND,Tổng cộngVND,numeric__Chi phíbảo hànhVND,numeric__Dự phòng khõiphục môi trườngVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,32.964.116.609,30.258.628.785,63.222.745.394,32964116609.0,30258628785.0,63222745394.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,17.384.113.914,561.518.521,17.945.632.435,17384113914.0,561518521.0,17945632435.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,50.348.230.523,30.820.147.306,81.168.377.829,50348230523.0,30820147306.0,81168377829.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,13.672.830.889,-,13.672.830.889,13672830889.0,,13672830889.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,36.675.399.634,30.820.147.306,67.495.546.940,36675399634.0,30820147306.0,67495546940.0
