row_label_raw,row_label_full,col_0,31/12/2024VND,1/1/2024VND,col_3,col_4,col_5,col_6,numeric__31/12/2024VND,numeric__1/1/2024VND,numeric__col_3,numeric__col_4,numeric__col_5,numeric__col_6
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,61.555.286.150,48.252.755.440,,,,,61555286150.0,48252755440.0,,,,
"Chi phí bảo dưỡng, sửa chữa tài sản","Chi phí bảo dưỡng, sửa chữa tài sản","Chi phí bảo dưỡng, sửa chữa tài sản",193.317.149.178,147.353.760.046,,,,,193317149178.0,147353760046.0,,,,
Chi phí khác,Chi phí khác,Chi phí khác,171.277.063.760,135.228.462.711,,,,,171277063760.0,135228462711.0,,,,
,,,426.149.499.088,330.834.978.197,,,,,426149499088.0,330834978197.0,,,,
15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,15.2 Chi phí trả trước dài hạn,,,,,,
,,,Công cụ và dụng cụVND,"Chi phí đại tu, sửa chữa lớnVND",Chi phí đấttrả trướcVND,Chi phí giải phóng mặt bằngVND,Chi phí trả trước khácVND,Tổng cộngVND,,,,,,
Số dư đầu năm,15.2 Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,176.343.765.328,625.681.692.632,2.978.042.179.269,295.692.249.067,139.248.086.383,4.215.007.972.679,176343765328.0,625681692632.0,2978042179269.0,295692249067.0,139248086383.0,4215007972679.0
Tăng trong năm,15.2 Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,105.492.036.407,45.522.620.014,-,-,130.957.165.860,281.971.822.281,105492036407.0,45522620014.0,,,130957165860.0,281971822281.0
Chuyển từ xây dựng cơ bản dở dang,15.2 Chi phí trả trước dài hạn > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,4.016.941.766,450.636.103.807,28.661.126.965,14.073.534.331,59.794.948.184,557.182.655.053,4016941766.0,450636103807.0,28661126965.0,14073534331.0,59794948184.0,557182655053.0
Phân bổ trong năm,15.2 Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(142.019.206.643),(411.466.244.722),(101.922.666.659),(11.743.041.831),(79.030.019.824),(746.181.179.679),-142019206643.0,-411466244722.0,-101922666659.0,-11743041831.0,-79030019824.0,-746181179679.0
"Thanh lý, xóa số","15.2 Chi phí trả trước dài hạn > Thanh lý, xóa số","Thanh lý, xóa số",(36.237.283),(38.803.338.183),-,-,-,(38.839.575.466),-36237283.0,-38803338183.0,,,,-38839575466.0
Phân loại lại,15.2 Chi phí trả trước dài hạn > Phân loại lại,Phân loại lại,(5.112.405.021),10.225.890.619,(1.102.786.353),9.827.996.319,(13.838.695.564),-,-5112405021.0,10225890619.0,-1102786353.0,9827996319.0,-13838695564.0,
Số dư cuối năm,15.2 Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,138.684.894.554,681.796.724.167,2.903.677.853.222,307.850.737.886,237.131.485.039,4.269.141.694.868,138684894554.0,681796724167.0,2903677853222.0,307850737886.0,237131485039.0,4269141694868.0
