row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020Triệu đồng,Ngày 31 tháng 12năm 2019Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Ngày 31 tháng 12năm 2019Triệu đồng
"Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")",18.612.327,18.767.473,18612327.0,18767473.0
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,15.202.255,15.675.371,15202255.0,15675371.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,3.137.098,2.670.983,3137098.0,2670983.0
Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,8.586,32.435,8586.0,32435.0
Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,264.388,388.684,264388.0,388684.0
"Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")",113.851.480,119.969.959,113851480.0,119969959.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,36.313.643,29.770.131,36313643.0,29770131.0
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,376.452,445.838,376452.0,445838.0
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,75.105.082,87.490.439,75105082.0,87490439.0
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,2.056.303,2.263.551,2056303.0,2263551.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,1.124.389,181.077,1124389.0,181077.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,1.053.860,142.870,1053860.0,142870.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,70.529,38.207,70529.0,38207.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,561.256,542.785,561256.0,542785.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,548.714,520.278,548714.0,520278.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,12.542,22.507,12542.0,22507.0
,,,134.149.452,139.461.294,134149452.0,139461294.0
