row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,14.135.810,35.481,-,14135810.0,35481.0,
Giao dịch hoàn đổi tiền tệ,Giao dịch hoàn đổi tiền tệ,Giao dịch hoàn đổi tiền tệ,28.225.821,13.592,-,28225821.0,13592.0,
,,,42.361.631,49.073,-,42361631.0,49073.0,
Số thuần,Số thuần,Số thuần,,49.073,,,49073.0,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,22.690.628,116.064,-,22690628.0,116064.0,
Giao dịch hoàn đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019 > Giao dịch hoàn đổi tiền tệ,Giao dịch hoàn đổi tiền tệ,61.867.696,91.739,-,61867696.0,91739.0,
,,,84.558.324,207.803,-,84558324.0,207803.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019 > Số thuần,Số thuần,,207.803,,,207803.0,
