row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2020Triệu đồng,Ngày 31 tháng 12 năm 2019Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2020Triệu đồng,numeric__Ngày 31 tháng 12 năm 2019Triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,-,192,,,192.0
Cam kết giao dịch hối đoai,Cam kết giao dịch hối đoai,Cam kết giao dịch hối đoai,,65.198.286,134.488.678,,65198286.0,134488678.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,1.107.480,2.297.294,,1107480.0,2297294.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.074.893,1.344.152,,1074893.0,1344152.0
- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,,63.015.913,130.847.232,,63015913.0,130847232.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,,3.280.360,3.796.463,,3280360.0,3796463.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,3.620.406,5.355.747,,3620406.0,5355747.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,168.356,168.903,,168356.0,168903.0
,,,32,72.267.408,143.809.983,32.0,72267408.0,143809983.0
Người lập:,Người lập:,Người lập:,Người kiểm soát:,,nê duyệt:,,,
Ông Nguyễn Minh ThanhPhó phòngKế toán Tổng hợp & Thuế,Ông Nguyễn Minh ThanhPhó phòngKế toán Tổng hợp & Thuế,Ông Nguyễn Minh ThanhPhó phòngKế toán Tổng hợp & Thuế,Ông Lã Quang TrungKế toán Trường,Ông Nguyễn Cảnh VinhQuyền Tổng Giám đốc,Ông Nguyễn Cảnh VinhQuyền Tổng Giám đốc,,,
