row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,975.859,802.038,975859.0,802038.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,836.961,650.854,836961.0,650854.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,37.055,39.710,37055.0,39710.0
Thu từ dịch vụ ủy thác và đại lý,Thu từ dịch vụ ủy thác và đại lý,Thu từ dịch vụ ủy thác và đại lý,19.039,19.022,19039.0,19022.0
Thu từ dịch vụ bảo quản tài sản,Thu từ dịch vụ bảo quản tài sản,Thu từ dịch vụ bảo quản tài sản,4.220,2.875,4220.0,2875.0
Thu khác,Thu khác,Thu khác,78.584,89.577,78584.0,89577.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(516.085),(428.024),-516085.0,-428024.0
Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,(416.498),(287.278),-416498.0,-287278.0
"Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông",(60.080),(56.941),-60080.0,-56941.0
Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,(32.083),(55.377),-32083.0,-55377.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(4.307),(7.458),-4307.0,-7458.0
Chi khác,Chi khác,Chi khác,(3.117),(20.970),-3117.0,-20970.0
,,,459.774,374.014,459774.0,374014.0
