row_label_raw,row_label_full,col_0,Mức trích lập,Mức tối đa,numeric__Mức trích lập,numeric__Mức tối đa
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,5% lợi nhuận sau thuế,100% vốn điều lệ,,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,10% lợi nhuận sau thuế,Không quy định,,
Các quỹ khác,Các quỹ khác,Các quỹ khác,Theo quyết định của Đại hội cổ đông hàng nằm,Không quy định,,
