row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,499.979,765.374,247.709,46.534,514.131,2.073.727,499979.0,765374.0,247709.0,46534.0,514131.0,2073727.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,2.644,33.458,1.132,906,28.263,66.403,2644.0,33458.0,1132.0,906.0,28263.0,66403.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.709),(259),(10.650),(129),(34.059),(46.806),-1709.0,-259.0,-10650.0,-129.0,-34059.0,-46806.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,500.914,798.573,238.191,47.311,508.335,2.093.324,500914.0,798573.0,238191.0,47311.0,508335.0,2093324.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,77.676,545.888,192.096,41.293,414.344,1.271.297,77676.0,545888.0,192096.0,41293.0,414344.0,1271297.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,13.234,53.505,12.173,2.174,33.302,114.388,13234.0,53505.0,12173.0,2174.0,33302.0,114388.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.445),(259),(9.986),(129),(31.137),(42.956),-1445.0,-259.0,-9986.0,-129.0,-31137.0,-42956.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,89.465,599.134,194.283,43.338,416.509,1.342.729,89465.0,599134.0,194283.0,43338.0,416509.0,1342729.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,422.303,219.486,55.613,5.241,99.787,802.430,422303.0,219486.0,55613.0,5241.0,99787.0,802430.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,411.449,199.439,43.908,3.973,91.826,750.595,411449.0,199439.0,43908.0,3973.0,91826.0,750595.0
Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,Nguyên giá của tài sản cố định hữu hình đã khấu hao hết nhưng văn còn sử dụng tại ngày 31 tháng 12 năm 2020 là 838.258 triệu đồng (Ngày 31 tháng 12 năm 2019: 644.978 triệu đồng).,,,,,,
