row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,186.091,155.631,186091.0,155631.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,2.179.314,2.136.095,2179314.0,2136095.0
,,,2.365.405,2.291.726,2365405.0,2291726.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán –chứng khoán vốn,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán –chứng khoán vốn,Chứng khoán đầu tư sẵn sàng để bán –chứng khoán vốn,(12.565),(67.137),-12565.0,-67137.0
Chứng khoán đầu tư sẵn sàng để bán –Trái phiếu doanh nghiệp chưa niêm yết,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán –Trái phiếu doanh nghiệp chưa niêm yết,Chứng khoán đầu tư sẵn sàng để bán –Trái phiếu doanh nghiệp chưa niêm yết,4.687,751,4687.0,751.0
Phân loại lại dự phòng giảm giá các khoảnđầu tư dài hạn,Số trích lập/(hoàn nhập) trong năm > Phân loại lại dự phòng giảm giá các khoảnđầu tư dài hạn,Phân loại lại dự phòng giảm giá các khoảnđầu tư dài hạn,-,96.846,,96846.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,455.677,688.542,455677.0,688542.0
,,,447.799,719.002,447799.0,719002.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,,
Trái phiếu đặc biệt do VAMC phát hành,Số dự phòng đã sử dụng để xử lý rủi ro > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(1.818.011),(645.323),-1818011.0,-645323.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,178.213,186.091,178213.0,186091.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,816.980,2.179.314,816980.0,2179314.0
,,,995.193,2.365.405,995193.0,2365405.0
