row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,117.741.227.718,212.402.727.988,44.619.373.413,13.003.186.771,387.766.515.890,117741227718.0,212402727988.0,44619373413.0,13003186771.0,387766515890.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,729.112.727,27.015.661.181,2.195.778.727,169.649.091,30.110.201.726,729112727.0,27015661181.0,2195778727.0,169649091.0,30110201726.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,4.456.000.000,-,4.456.000.000,,,4456000000.0,,4456000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(688.909.091),-,(688.909.091),,,-688909091.0,,-688909091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,118.470.340.445,239.418.389.169,50.582.243.049,13.172.835.862,421.643.808.525,118470340445.0,239418389169.0,50582243049.0,13172835862.0,421643808525.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,50.898.430.293,113.159.472.489,22.516.456.488,6.894.435.488,193.468.794.758,50898430293.0,113159472489.0,22516456488.0,6894435488.0,193468794758.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.729.561.869,19.169.774.309,4.403.012.786,1.198.670.646,32.501.019.610,7729561869.0,19169774309.0,4403012786.0,1198670646.0,32501019610.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(604.950.772),-,(604.950.772),,,-604950772.0,,-604950772.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,58.627.992.162,132.329.246.798,26.314.518.502,8.093.106.134,225.364.863.596,58627992162.0,132329246798.0,26314518502.0,8093106134.0,225364863596.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,66.842.797.425,99.243.255.499,22.102.916.925,6.108.751.283,194.297.721.132,66842797425.0,99243255499.0,22102916925.0,6108751283.0,194297721132.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,59.842.348.283,107.089.142.371,24.267.724.547,5.079.729.728,196.278.944.929,59842348283.0,107089142371.0,24267724547.0,5079729728.0,196278944929.0
