row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,31/12/2017VND,1/1/2017VND,numeric__31/12/2017VND,numeric__1/1/2017VND
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,165.300.000.000,401.600.000.000,165300000000.0,401600000000.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,,,,
Trái phiếu ngân hàng,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn > Trái phiếu ngân hàng,Trái phiếu ngân hàng,2.500.000.000,-,2500000000.0,
